player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Bennedict Mathurin,LAC,Pts+Rebs+Asts,36.0,28.0,7.0,1.0,0.0,1.0,2.0,9.0,20.0,2.0,5.0,2.0,8.0,9.0,7.0,15.0,1.0,6.0,1.0,36.0
Jalen Brunson,NY,Pts+Asts,36.0,28.0,4.0,8.0,0.0,1.0,3.0,12.0,23.0,2.0,7.0,2.0,2.0,3.0,10.0,16.0,0.0,4.0,1.0,38.0
Bennedict Mathurin,LAC,PRA,36.0,28.0,7.0,1.0,0.0,1.0,2.0,9.0,20.0,2.0,5.0,2.0,8.0,9.0,7.0,15.0,1.0,6.0,1.0,36.0
Aaron Gordon,DEN,PRA,36.0,23.0,10.0,3.0,0.0,1.0,1.0,6.0,14.0,2.0,4.0,2.0,9.0,10.0,4.0,10.0,4.0,6.0,2.0,28.0
Aaron Gordon,DEN,Pts+Rebs+Asts,36.0,23.0,10.0,3.0,0.0,1.0,1.0,6.0,14.0,2.0,4.0,2.0,9.0,10.0,4.0,10.0,4.0,6.0,2.0,28.0
Jaylen Wells,MEM,Fantasy Score,35.8,17.0,5.0,2.0,0.0,2.0,1.0,6.0,12.0,3.0,6.0,3.0,2.0,2.0,3.0,6.0,2.0,3.0,1.0,26.0
Brice Sensabaugh,UTAH,Fantasy Score,35.5,21.0,2.0,3.0,2.0,0.0,4.0,7.0,13.0,2.0,5.0,2.0,5.0,6.0,5.0,8.0,2.0,0.0,2.0,29.0
Bennedict Mathurin,LAC,Pts+Rebs,35.0,28.0,7.0,1.0,0.0,1.0,2.0,9.0,20.0,2.0,5.0,2.0,8.0,9.0,7.0,15.0,1.0,6.0,1.0,36.0
Karl-Anthony Towns,NY,Points,35.0,35.0,12.0,7.0,1.0,0.0,3.0,13.0,17.0,3.0,4.0,3.0,6.0,8.0,10.0,13.0,2.0,10.0,6.0,36.0
Shai Gilgeous-Alexander,OKC,Points,35.0,35.0,9.0,15.0,1.0,1.0,0.0,14.0,21.0,3.0,7.0,3.0,4.0,4.0,11.0,14.0,1.0,8.0,3.0,39.0
Jamal Murray,DEN,Pts+Rebs+Asts,35.0,21.0,8.0,6.0,1.0,0.0,0.0,9.0,23.0,0.0,4.0,0.0,3.0,3.0,9.0,19.0,2.0,6.0,3.0,37.0
Jamal Murray,DEN,PRA,35.0,21.0,8.0,6.0,1.0,0.0,0.0,9.0,23.0,0.0,4.0,0.0,3.0,3.0,9.0,19.0,2.0,6.0,3.0,37.0
Kyle Filipowski,UTAH,Pts+Rebs,34.0,19.0,15.0,5.0,1.0,2.0,4.0,6.0,12.0,1.0,3.0,1.0,6.0,6.0,5.0,9.0,4.0,11.0,1.0,25.0
Ochai Agbaji,BKN,Fantasy Score,33.8,18.0,3.0,1.0,1.0,2.0,2.0,8.0,9.0,2.0,3.0,2.0,0.0,0.0,6.0,6.0,1.0,2.0,1.0,22.0
Brook Lopez,LAC,Fantasy Score,33.5,16.0,4.0,3.0,1.0,0.0,0.0,5.0,8.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,30.0
Elijah Harkless,UTAH,Fantasy Score,33.5,16.0,2.0,6.0,0.0,1.0,2.0,4.0,10.0,1.0,4.0,1.0,7.0,8.0,3.0,6.0,0.0,2.0,2.0,24.0
GG Jackson,MEM,Fantasy Score,33.5,18.0,4.0,4.0,0.0,0.0,1.0,8.0,21.0,1.0,5.0,1.0,1.0,2.0,7.0,16.0,1.0,3.0,3.0,26.0
Aaron Gordon,DEN,Pts+Rebs,33.0,23.0,10.0,3.0,0.0,1.0,1.0,6.0,14.0,2.0,4.0,2.0,9.0,10.0,4.0,10.0,4.0,6.0,2.0,28.0
Quentin Grimes,PHI,Fantasy Score,32.8,17.0,5.0,3.0,0.0,0.0,1.0,6.0,13.0,2.0,8.0,2.0,3.0,3.0,4.0,5.0,0.0,5.0,1.0,36.0
Nolan Traore,BKN,Fantasy Score,32.2,17.0,1.0,4.0,1.0,0.0,1.0,6.0,9.0,4.0,5.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,23.0
Tim Hardaway Jr.,DEN,Pts+Rebs+Asts,32.0,28.0,2.0,2.0,0.0,0.0,1.0,10.0,16.0,8.0,12.0,8.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,33.0
Jaylin Williams,OKC,Pts+Asts,32.0,29.0,12.0,3.0,2.0,0.0,1.0,10.0,17.0,7.0,11.0,7.0,2.0,4.0,3.0,6.0,0.0,12.0,4.0,40.0
Nikola Jokic,DEN,Points,32.0,32.0,14.0,13.0,1.0,0.0,3.0,12.0,19.0,3.0,6.0,3.0,5.0,6.0,9.0,13.0,1.0,13.0,0.0,40.0
Jalen Brunson,NY,Pts+Rebs,32.0,28.0,4.0,8.0,0.0,1.0,3.0,12.0,23.0,2.0,7.0,2.0,2.0,3.0,10.0,16.0,0.0,4.0,1.0,38.0
Tim Hardaway Jr.,DEN,PRA,32.0,28.0,2.0,2.0,0.0,0.0,1.0,10.0,16.0,8.0,12.0,8.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,33.0
Kevin Love,UTAH,Fantasy Score,31.5,12.0,8.0,1.0,0.0,1.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,7.0,0.0,15.0
Draymond Green,GS,Fantasy Score,31.5,6.0,2.0,11.0,0.0,0.0,0.0,2.0,7.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,32.0
James Harden,CLE,Pts+Rebs+Asts,31.0,21.0,5.0,5.0,1.0,0.0,2.0,6.0,11.0,3.0,8.0,3.0,6.0,6.0,3.0,3.0,0.0,5.0,1.0,29.0
John Konchar,UTAH,Fantasy Score,31.0,2.0,10.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,4.0,33.0
Cameron Payne,PHI,Fantasy Score,31.0,12.0,6.0,4.0,0.0,0.0,0.0,4.0,12.0,2.0,7.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,28.0
Darius Garland,LAC,Pts+Rebs+Asts,31.0,23.0,1.0,7.0,0.0,2.0,2.0,7.0,16.0,5.0,9.0,5.0,4.0,6.0,2.0,7.0,0.0,1.0,0.0,30.0
Isaiah Joe,OKC,Fantasy Score,31.0,13.0,4.0,2.0,2.0,0.0,0.0,5.0,10.0,3.0,8.0,3.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,32.0
De'Anthony Melton,GS,Pts+Rebs+Asts,31.0,22.0,7.0,2.0,1.0,2.0,2.0,7.0,16.0,3.0,6.0,3.0,5.0,5.0,4.0,10.0,4.0,3.0,3.0,20.0
De'Anthony Melton,GS,PRA,31.0,22.0,7.0,2.0,1.0,2.0,2.0,7.0,16.0,3.0,6.0,3.0,5.0,5.0,4.0,10.0,4.0,3.0,3.0,20.0
James Harden,CLE,PRA,31.0,21.0,5.0,5.0,1.0,0.0,2.0,6.0,11.0,3.0,8.0,3.0,6.0,6.0,3.0,3.0,0.0,5.0,1.0,29.0
Darius Garland,LAC,PRA,31.0,23.0,1.0,7.0,0.0,2.0,2.0,7.0,16.0,5.0,9.0,5.0,4.0,6.0,2.0,7.0,0.0,1.0,0.0,30.0
Ziaire Williams,BKN,Fantasy Score,30.5,11.0,4.0,4.0,0.0,2.0,1.0,4.0,7.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,3.0,2.0,19.0
Justin Edwards,PHI,Fantasy Score,30.5,14.0,2.0,3.0,0.0,2.0,1.0,5.0,6.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,28.0
Cody Williams,UTAH,Fantasy Score,30.2,12.0,3.0,7.0,1.0,0.0,5.0,5.0,12.0,0.0,4.0,0.0,2.0,2.0,5.0,8.0,1.0,2.0,2.0,43.0
OG Anunoby,NY,PRA,30.0,22.0,6.0,2.0,0.0,2.0,4.0,8.0,15.0,3.0,8.0,3.0,3.0,4.0,5.0,7.0,2.0,4.0,2.0,37.0
OG Anunoby,NY,Pts+Rebs+Asts,30.0,22.0,6.0,2.0,0.0,2.0,4.0,8.0,15.0,3.0,8.0,3.0,3.0,4.0,5.0,7.0,2.0,4.0,2.0,37.0
Darius Garland,LAC,Pts+Asts,30.0,23.0,1.0,7.0,0.0,2.0,2.0,7.0,16.0,5.0,9.0,5.0,4.0,6.0,2.0,7.0,0.0,1.0,0.0,30.0
Tim Hardaway Jr.,DEN,Pts+Asts,30.0,28.0,2.0,2.0,0.0,0.0,1.0,10.0,16.0,8.0,12.0,8.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,33.0
Tim Hardaway Jr.,DEN,Pts+Rebs,30.0,28.0,2.0,2.0,0.0,0.0,1.0,10.0,16.0,8.0,12.0,8.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,33.0
Keon Ellis,CLE,Fantasy Score,30.0,19.0,2.0,0.0,0.0,1.0,0.0,5.0,9.0,4.0,7.0,4.0,5.0,7.0,1.0,2.0,1.0,1.0,3.0,26.0
Nic Claxton,BKN,Fantasy Score,29.5,9.0,8.0,5.0,2.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,2.0,6.0,1.0,21.0
Bennedict Mathurin,LAC,Pts+Asts,29.0,28.0,7.0,1.0,0.0,1.0,2.0,9.0,20.0,2.0,5.0,2.0,8.0,9.0,7.0,15.0,1.0,6.0,1.0,36.0
Rayan Rupert,MEM,PRA,29.0,20.0,8.0,1.0,2.0,1.0,2.0,5.0,13.0,4.0,8.0,4.0,6.0,6.0,1.0,5.0,2.0,6.0,4.0,36.0
Javon Small,MEM,Pts+Rebs+Asts,29.0,19.0,7.0,3.0,0.0,2.0,1.0,7.0,14.0,2.0,4.0,2.0,3.0,5.0,5.0,10.0,3.0,4.0,0.0,32.0
Javon Small,MEM,PRA,29.0,19.0,7.0,3.0,0.0,2.0,1.0,7.0,14.0,2.0,4.0,2.0,3.0,5.0,5.0,10.0,3.0,4.0,0.0,32.0
De'Anthony Melton,GS,Pts+Rebs,29.0,22.0,7.0,2.0,1.0,2.0,2.0,7.0,16.0,3.0,6.0,3.0,5.0,5.0,4.0,10.0,4.0,3.0,3.0,20.0
Jaylin Williams,OKC,Points,29.0,29.0,12.0,3.0,2.0,0.0,1.0,10.0,17.0,7.0,11.0,7.0,2.0,4.0,3.0,6.0,0.0,12.0,4.0,40.0
Ajay Mitchell,OKC,PRA,29.0,24.0,2.0,3.0,0.0,1.0,0.0,9.0,16.0,1.0,4.0,1.0,5.0,5.0,8.0,12.0,1.0,1.0,1.0,29.0
Ajay Mitchell,OKC,Pts+Rebs+Asts,29.0,24.0,2.0,3.0,0.0,1.0,0.0,9.0,16.0,1.0,4.0,1.0,5.0,5.0,8.0,12.0,1.0,1.0,1.0,29.0
Kawhi Leonard,LAC,Points,29.0,29.0,7.0,8.0,0.0,2.0,1.0,10.0,19.0,2.0,5.0,2.0,7.0,7.0,8.0,14.0,1.0,6.0,3.0,35.0
Rayan Rupert,MEM,Pts+Rebs+Asts,29.0,20.0,8.0,1.0,2.0,1.0,2.0,5.0,13.0,4.0,8.0,4.0,6.0,6.0,1.0,5.0,2.0,6.0,4.0,36.0
Jamal Murray,DEN,Pts+Rebs,29.0,21.0,8.0,6.0,1.0,0.0,0.0,9.0,23.0,0.0,4.0,0.0,3.0,3.0,9.0,19.0,2.0,6.0,3.0,37.0
Josh Hart,NY,Pts+Rebs+Asts,28.0,12.0,13.0,3.0,0.0,0.0,3.0,5.0,7.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,7.0,6.0,4.0,37.0
Rayan Rupert,MEM,Pts+Rebs,28.0,20.0,8.0,1.0,2.0,1.0,2.0,5.0,13.0,4.0,8.0,4.0,6.0,6.0,1.0,5.0,2.0,6.0,4.0,36.0
Tim Hardaway Jr.,DEN,Points,28.0,28.0,2.0,2.0,0.0,0.0,1.0,10.0,16.0,8.0,12.0,8.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,33.0
Oscar Tshiebwe,UTAH,Fantasy Score,28.0,10.0,8.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,4.0,4.0,1.0,20.0
Olivier-Maxence Prosper,MEM,Fantasy Score,28.0,15.0,4.0,1.0,1.0,0.0,2.0,5.0,10.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,32.0
Josh Hart,NY,PRA,28.0,12.0,13.0,3.0,0.0,0.0,3.0,5.0,7.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,7.0,6.0,4.0,37.0
Gui Santos,GS,Pts+Rebs+Asts,28.0,15.0,8.0,5.0,0.0,2.0,0.0,6.0,13.0,1.0,7.0,1.0,2.0,4.0,5.0,6.0,3.0,5.0,1.0,33.0
Bennedict Mathurin,LAC,Points,28.0,28.0,7.0,1.0,0.0,1.0,2.0,9.0,20.0,2.0,5.0,2.0,8.0,9.0,7.0,15.0,1.0,6.0,1.0,36.0
Jalen Brunson,NY,Points,28.0,28.0,4.0,8.0,0.0,1.0,3.0,12.0,23.0,2.0,7.0,2.0,2.0,3.0,10.0,16.0,0.0,4.0,1.0,38.0
OG Anunoby,NY,Pts+Rebs,28.0,22.0,6.0,2.0,0.0,2.0,4.0,8.0,15.0,3.0,8.0,3.0,3.0,4.0,5.0,7.0,2.0,4.0,2.0,37.0
Gui Santos,GS,PRA,28.0,15.0,8.0,5.0,0.0,2.0,0.0,6.0,13.0,1.0,7.0,1.0,2.0,4.0,5.0,6.0,3.0,5.0,1.0,33.0
LJ Cryer,GS,Fantasy Score,27.8,11.0,5.0,2.0,0.0,1.0,1.0,4.0,9.0,3.0,8.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,17.0
Nikola Jokic,DEN,Rebs+Asts,27.0,32.0,14.0,13.0,1.0,0.0,3.0,12.0,19.0,3.0,6.0,3.0,5.0,6.0,9.0,13.0,1.0,13.0,0.0,40.0
Jahmai Mashack,MEM,Fantasy Score,27.0,7.0,6.0,2.0,3.0,2.0,1.0,3.0,6.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,3.0,3.0,2.0,31.0
Ajay Mitchell,OKC,Pts+Asts,27.0,24.0,2.0,3.0,0.0,1.0,0.0,9.0,16.0,1.0,4.0,1.0,5.0,5.0,8.0,12.0,1.0,1.0,1.0,29.0
Jamal Murray,DEN,Pts+Asts,27.0,21.0,8.0,6.0,1.0,0.0,0.0,9.0,23.0,0.0,4.0,0.0,3.0,3.0,9.0,19.0,2.0,6.0,3.0,37.0
Brandin Podziemski,GS,PRA,26.0,14.0,8.0,4.0,0.0,2.0,3.0,5.0,10.0,4.0,6.0,4.0,0.0,4.0,1.0,4.0,0.0,8.0,2.0,35.0
Donovan Mitchell,CLE,PRA,26.0,17.0,3.0,6.0,0.0,2.0,0.0,4.0,11.0,0.0,2.0,0.0,9.0,9.0,4.0,9.0,1.0,2.0,1.0,31.0
Donovan Mitchell,CLE,Pts+Rebs+Asts,26.0,17.0,3.0,6.0,0.0,2.0,0.0,4.0,11.0,0.0,2.0,0.0,9.0,9.0,4.0,9.0,1.0,2.0,1.0,31.0
Brandin Podziemski,GS,Pts+Rebs+Asts,26.0,14.0,8.0,4.0,0.0,2.0,3.0,5.0,10.0,4.0,6.0,4.0,0.0,4.0,1.0,4.0,0.0,8.0,2.0,35.0
James Harden,CLE,Pts+Rebs,26.0,21.0,5.0,5.0,1.0,0.0,2.0,6.0,11.0,3.0,8.0,3.0,6.0,6.0,3.0,3.0,0.0,5.0,1.0,29.0
Aaron Gordon,DEN,Pts+Asts,26.0,23.0,10.0,3.0,0.0,1.0,1.0,6.0,14.0,2.0,4.0,2.0,9.0,10.0,4.0,10.0,4.0,6.0,2.0,28.0
GG Jackson,MEM,Pts+Rebs+Asts,26.0,18.0,4.0,4.0,0.0,0.0,1.0,8.0,21.0,1.0,5.0,1.0,1.0,2.0,7.0,16.0,1.0,3.0,3.0,26.0
GG Jackson,MEM,PRA,26.0,18.0,4.0,4.0,0.0,0.0,1.0,8.0,21.0,1.0,5.0,1.0,1.0,2.0,7.0,16.0,1.0,3.0,3.0,26.0
Brice Sensabaugh,UTAH,Pts+Rebs+Asts,26.0,21.0,2.0,3.0,2.0,0.0,4.0,7.0,13.0,2.0,5.0,2.0,5.0,6.0,5.0,8.0,2.0,0.0,2.0,29.0
