projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,avg_L5,avg_L10,avg_L20,avg_season,games_played,fantasy_score_avg_L5,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_season,toi_avg_L10,toi_avg_season,last1_time_on_ice,last2_time_on_ice,last3_time_on_ice,last1_fantasy_score,last2_fantasy_score,last3_fantasy_score,last1_faceoffs_won,last2_faceoffs_won,last3_faceoffs_won,last1_shots_on_goal_(combo),last2_shots_on_goal_(combo),last3_shots_on_goal_(combo),last1_hits,last2_hits,last3_hits,last1_goalie_saves,last2_goalie_saves,last3_goalie_saves,last1_shots_on_goal,last2_shots_on_goal,last3_shots_on_goal,last1_blocked_shots,last2_blocked_shots,last3_blocked_shots,last1_points,last2_points,last3_points,last1_goals_allowed,last2_goals_allowed,last3_goals_allowed,last1_goals,last2_goals,last3_goals,last1_assists,last2_assists,last3_assists,last1_power_play_points,last2_power_play_points,last3_power_play_points,last1_plus/minus,last2_plus/minus,last3_plus/minus,hit_rate_over_L5,sample_L5,hit_rate_over_L10,sample_L10,hit_rate_over_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,edge,recommended_side,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
10377373,184753,Aliaksei Protas,WSH,F,Shots On Goal,4.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8481656,,,,,,,,,,2.0,1.7,2.0,2.067,30,5.6,7.15,8.8,8.867,15.814,16.795,,,,3.0,1.5,9.5,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.0,20,0.0333,30,0.0033,0.4967,UNDER,L,F,SECONDARY,NO_PP,0.712,0.339,0.017,18.4
10377389,218274,David Pastrnak,BOS,F,Shots On Goal,4.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8477956,,,,,,,,,,2.0,2.7,3.1,3.533,30,16.8,17.75,14.05,14.867,18.946,20.674,,,,14.5,14.5,17.5,,,,,,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.3,10,0.35,20,0.3333,30,0.1908,0.3092,UNDER,R,F,ELITE,PP1_STAR,1.286,0.393,0.482,20.42
10377406,219643,Jakob Chychrun,WSH,D,Shots On Goal,4.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8479345,,,,,,,,,,1.4,2.6,2.5,2.5,30,3.1,6.5,6.2,6.95,21.456,21.422,,,,3.0,0.0,4.5,,,,,,,,,,,,,2,0,3,,,,,,,,,,,,,,,,,,,,,,0.4,5,0.3,10,0.2,20,0.2,30,0.315,0.185,UNDER,D,D,SECONDARY,PP_REGULAR,0.803,0.361,0.23,23.75
10377416,171836,Morgan Geekie,BOS,F,Shots On Goal,4.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8479987,,,,,,,,,,2.8,2.0,1.85,1.933,30,14.2,14.4,11.125,9.867,18.335,18.781,,,,11.0,11.0,17.5,,,,,,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,0.2,5,0.1,10,0.05,20,0.0333,30,0.1258,0.3742,UNDER,C,F,ELITE,PP_REGULAR,0.933,0.567,0.367,17.45
10377424,218567,Tom Wilson,WSH,F,Shots On Goal,4.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8476880,,,,,,,,,,2.0,1.9,1.5,1.8,30,6.6,6.45,7.0,8.833,18.669,18.515,,,,8.0,8.0,3.0,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.1,20,0.1,30,0.025,0.475,UNDER,R,F,ELITE,PP_REGULAR,0.925,0.434,0.208,19.48
10377433,267677,Viktor Arvidsson,BOS,F,Shots On Goal,4.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8478042,,,,,,,,,,2.8,3.3,2.8,2.367,30,7.4,8.95,7.4,6.117,16.856,15.245,,,,1.5,7.5,14.0,,,,,,,,,,,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.1,10,0.15,20,0.1,30,0.0675,0.4325,UNDER,L,F,SECONDARY,PP_OCC,0.653,0.347,0.143,14.48
10377363,218565,Alex Ovechkin,WSH,F,Shots On Goal,3.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8471214,,,,,,,,,,3.4,3.2,3.3,3.567,30,11.9,13.7,13.15,13.45,17.541,17.863,,,,11.0,8.0,17.0,,,,,,,,,,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,0.4,5,0.5,10,0.45,20,0.4667,30,0.4492,0.0508,UNDER,L,F,SECONDARY,PP_REGULAR,0.794,0.381,0.238,17.77
10377372,184753,Aliaksei Protas,WSH,F,Shots On Goal,3.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8481656,,,,,,,,,,2.0,1.7,2.0,2.067,30,5.6,7.15,8.8,8.867,15.814,16.795,,,,3.0,1.5,9.5,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.1,10,0.05,20,0.0667,30,0.0492,0.4508,UNDER,L,F,SECONDARY,NO_PP,0.712,0.339,0.017,18.4
10377378,218275,Charlie McAvoy,BOS,D,Shots On Goal,3.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8479325,,,,,,,,,,2.4,1.8,1.8,1.967,30,7.8,6.3,6.0,6.017,23.671,23.475,,,,1.5,6.5,14.0,,,,,,,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.0,10,0.05,20,0.1333,30,0.0208,0.4792,UNDER,D,D,SECONDARY,PP_REGULAR,0.878,0.122,0.347,24.25
10377394,218323,Elias Lindholm,BOS,F,Shots On Goal,3.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z,shots_on_goal,SKATER,,0,8477496,,,,,,,,,,2.6,2.2,1.95,2.233,30,10.1,9.5,7.825,7.917,17.403,18.199,,,,5.0,17.5,11.0,,,,,,,,,,,,,0,3,4,,,,,,,,,,,,,,,,,,,,,,0.0,5,0.1,10,0.05,20,0.0667,30,0.0492,0.4508,UNDER,C,F,SECONDARY,PP_REGULAR,0.812,0.229,0.396,17.65
