projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at
10381124,218275,Charlie McAvoy,BOS,D,Blocked Shots,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381133,61871,Connor McMichael,WSH,F,Shots On Goal,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381141,87042,Dylan Strome,WSH,F,Shots On Goal,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381152,63692,Hampus Lindholm,BOS,D,Shots On Goal,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381157,233394,Matt Roy,WSH,D,Blocked Shots,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381169,87045,Pavel Zacha,BOS,F,Shots On Goal,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10381177,218574,Pierre-Luc Dubois,WSH,F,Shots On Goal,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10389118,267672,Fraser Minten,BOS,F,Shots On Goal,2.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10389123,218587,Logan Thompson,WSH,G,Goals Allowed,2.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10389124,125706,Rasmus Sandin,WSH,D,Blocked Shots,2.5,demon,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10365904,218274,David Pastrnak,BOS,F,Goals,1.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377371,184753,Aliaksei Protas,WSH,F,Shots On Goal,1.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377376,218275,Charlie McAvoy,BOS,D,Shots On Goal,1.5,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377414,171836,Morgan Geekie,BOS,F,Shots On Goal,1.5,goblin,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10377421,218567,Tom Wilson,WSH,F,Shots On Goal,1.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378673,231031,Anthony Beauvillier,WSH,F,Shots On Goal,1.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378682,61871,Connor McMichael,WSH,F,Shots On Goal,1.5,standard,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378683,218274,David Pastrnak,BOS,F,Points,1.5,demon,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378688,87042,Dylan Strome,WSH,F,Shots On Goal,1.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378694,63692,Hampus Lindholm,BOS,D,Shots On Goal,1.5,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378701,233394,Matt Roy,WSH,D,Blocked Shots,1.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378703,267674,Michael Eyssimont,BOS,F,Shots On Goal,1.5,standard,False,WSH,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
10378714,218574,Pierre-Luc Dubois,WSH,F,Shots On Goal,1.5,goblin,False,BOS,,,2026-03-07T12:30:00.000-05:00,133690,2026-03-07T16:59:45Z
