player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
Jalen Suggs,G,ORL,WAS,29.0,Fantasy Score,fantasy,Goblin,1630591,10528580,10528580,53830,135136,2026-03-12T19:00:00.000-04:00,,,34.5,1,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432165.0,30.5,34.25,36.5,41.5,38.75,31.25,8.25,19.25,58.25,,36.3,33.167,33.167,5.0,0.0,0.0,1.0,1.0,0.0,0.778,0.222,OK,28.4,OK,5.0,5.0,0.0,0.0,1.0,0.0
Bilal Coulibaly,G,WAS,ORL,29.0,Fantasy Score,fantasy,Demon,1641731,10528583,10528583,175142,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5104155.0,34.0,12.0,33.75,17.5,36.75,32.75,24.25,33.0,34.5,30.75,26.8,28.925,28.925,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,OK,28.8,OK,5.0,3.0,2.0,0.0,0.6,0.4
Will Riley,F,WAS,ORL,28.0,Fantasy Score,fantasy,Demon,1642860,10528596,10528596,284883,135136,2026-03-12T19:00:00.000-04:00,,,22.5,1,https://static.prizepicks.com/images/players/NBA/Will_Riley_NBA_player_i958pZUF5ADJdpTh5BxYK01R.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5144126.0,38.5,25.25,23.5,39.25,15.25,32.0,44.5,30.0,31.5,22.25,28.35,30.2,30.2,2.0,3.0,0.0,0.4,0.4,0.6,0.6,0.4,OK,31.2,OK,5.0,2.0,3.0,0.0,0.4,0.6
Tre Johnson,G,WAS,ORL,25.0,Fantasy Score,fantasy,Demon,1642848,10528601,10528601,271616,135136,2026-03-12T19:00:00.000-04:00,,,19.5,1,https://static.prizepicks.com/images/manual/Tre Johnson.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5238230.0,29.5,32.5,35.5,11.0,18.5,13.25,27.25,11.25,20.25,25.75,25.4,22.475,22.475,3.0,2.0,0.0,0.6,0.6,0.4,0.5,0.5,OK,22.2,OK,5.0,3.0,2.0,0.0,0.6,0.4
Wendell Carter,C-F,ORL,WAS,23.0,Fantasy Score,fantasy,Goblin,1628976,10528589,10528589,37711,135136,2026-03-12T19:00:00.000-04:00,,,28.0,1,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,
Alex Sarr,C,WAS,ORL,22.5,Fantasy Score,fantasy,Goblin,1642259,10528576,10528576,217304,135136,2026-03-12T19:00:00.000-04:00,,,27.5,1,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5160992.0,47.0,15.5,,,,,,,,,31.25,31.25,31.25,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,OK,19.0,OK,2.0,1.0,1.0,0.0,0.5,0.5
Trae Young,G,WAS,ORL,19.5,Fantasy Score,fantasy,Goblin,1629027,10528591,10528591,304617,135136,2026-03-12T19:00:00.000-04:00,,,24.5,1,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4277905.0,38.0,31.0,,,,,,,,,34.5,34.5,34.5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,18.5,OK,2.0,2.0,0.0,0.0,1.0,0.0
Tristan Silva,F,ORL,WAS,19.0,Fantasy Score,fantasy,Goblin,,10528581,10528581,218628,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Tristan_Da_Silva_NBA_player_P4N0KaXAPN3h5k1IVKetUs5m.webp,,,,,UNRESOLVED_SINGLE,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,
Bilal Coulibaly,G,WAS,ORL,19.0,Fantasy Score,fantasy,Goblin,1641731,10528592,10528592,175142,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5104155.0,34.0,12.0,33.75,17.5,36.75,32.75,24.25,33.0,34.5,30.75,26.8,28.925,28.925,3.0,2.0,0.0,0.6,0.6,0.4,0.8,0.2,OK,28.8,OK,5.0,3.0,2.0,0.0,0.6,0.4
Will Riley,F,WAS,ORL,18.0,Fantasy Score,fantasy,Goblin,1642860,10528586,10528586,284883,135136,2026-03-12T19:00:00.000-04:00,,,22.5,1,https://static.prizepicks.com/images/players/NBA/Will_Riley_NBA_player_i958pZUF5ADJdpTh5BxYK01R.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5144126.0,38.5,25.25,23.5,39.25,15.25,32.0,44.5,30.0,31.5,22.25,28.35,30.2,30.2,4.0,1.0,0.0,0.8,0.8,0.2,0.9,0.1,OK,31.2,OK,5.0,4.0,1.0,0.0,0.8,0.2
Tre Johnson,G,WAS,ORL,15.0,Fantasy Score,fantasy,Goblin,1642848,10528593,10528593,271616,135136,2026-03-12T19:00:00.000-04:00,,,19.5,1,https://static.prizepicks.com/images/manual/Tre Johnson.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5238230.0,29.5,32.5,35.5,11.0,18.5,13.25,27.25,11.25,20.25,25.75,25.4,22.475,22.475,4.0,1.0,0.0,0.8,0.8,0.2,0.7,0.3,OK,22.2,OK,5.0,4.0,1.0,0.0,0.8,0.2
Devin Booker,G,PHX,IND,48.5,Fantasy Score,fantasy,Demon,1626164,10528815,10528815,188014,135137,2026-03-12T19:00:00.000-04:00,,,41.5,1,https://static.prizepicks.com/images/players/NBA/Devin_Booker_NBA_player_hFxfQ4HSfTF5eG5yhA81zf4O.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24.0,1.0,3.0,14.0,23.0,29.0,29.0,29.0,28.0,18.0,21.387096774193548,24.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3136193.0,51.75,58.75,52.0,47.0,36.0,5.75,12.25,10.75,12.75,41.5,49.1,32.85,32.85,3.0,2.0,0.0,0.6,0.6,0.4,0.3,0.7,OK,33.4,OK,5.0,3.0,2.0,0.0,0.6,0.4
Andrew Nembhard,G-F,IND,PHX,39.0,Fantasy Score,fantasy,Demon,1629614,10528801,10528801,87352,135137,2026-03-12T19:00:00.000-04:00,,,32.5,1,https://static.prizepicks.com/images/players/NBA/Andrew_Nembhard_NBA_player_GHfxNKpM3OTHQ566JIhceIqt.webp,,,,,OK,111.8,85.6,40.2,35.3,12.3,24.5,16.7,50.3,27.9,55.8,5.0,4.0,6.0,2.0,6.0,8.0,9.0,9.0,20.0,3.0,6.720430107526881,5.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4395712.0,38.0,38.0,18.0,40.25,35.25,53.25,9.75,55.0,,,33.9,35.938,35.938,1.0,4.0,0.0,0.2,0.2,0.8,0.375,0.625,OK,28.0,OK,5.0,1.0,4.0,0.0,0.2,0.8
Jalen Green,G,PHX,IND,38.0,Fantasy Score,fantasy,Demon,1630224,10528811,10528811,272587,135137,2026-03-12T19:00:00.000-04:00,,,32.0,1,https://static.prizepicks.com/images/players/NBA/Jalen_Green_NBA_player_dgDzs8capbSfm3XqiXDKFCSw.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24.0,1.0,3.0,14.0,23.0,29.0,29.0,29.0,28.0,18.0,21.387096774193548,24.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4437244.0,42.0,39.0,40.75,26.75,38.5,14.75,24.0,28.75,43.25,43.75,37.4,34.15,34.15,4.0,1.0,0.0,0.8,0.8,0.2,0.6,0.4,OK,31.4,OK,5.0,4.0,1.0,0.0,0.8,0.2
Jarace Walker,F,IND,PHX,37.0,Fantasy Score,fantasy,Demon,1641716,10528800,10528800,182373,135137,2026-03-12T19:00:00.000-04:00,,,30.5,1,https://static.prizepicks.com/images/players/NBA/Jarace_Walker_NBA_player_HwpVsXJzKqVRYMw0eYjC3rBY.webp,,,,,OK,111.8,85.6,40.2,35.3,12.3,24.5,16.7,50.3,27.9,55.8,5.0,4.0,6.0,2.0,6.0,8.0,9.0,9.0,20.0,3.0,6.720430107526881,5.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5106060.0,24.75,27.75,34.75,34.75,35.25,33.5,38.5,47.75,47.5,59.5,31.45,38.4,38.4,0.0,5.0,0.0,0.0,0.0,1.0,0.4,0.6,OK,30.6,OK,5.0,0.0,5.0,0.0,0.0,1.0
Devin Booker,G,PHX,IND,35.5,Fantasy Score,fantasy,Goblin,1626164,10528806,10528806,188014,135137,2026-03-12T19:00:00.000-04:00,,,41.5,1,https://static.prizepicks.com/images/players/NBA/Devin_Booker_NBA_player_hFxfQ4HSfTF5eG5yhA81zf4O.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24.0,1.0,3.0,14.0,23.0,29.0,29.0,29.0,28.0,18.0,21.387096774193548,24.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3136193.0,51.75,58.75,52.0,47.0,36.0,5.75,12.25,10.75,12.75,41.5,49.1,32.85,32.85,5.0,0.0,0.0,1.0,1.0,0.0,0.6,0.4,OK,33.4,OK,5.0,5.0,0.0,0.0,1.0,0.0
Collin Gillespie,G,PHX,IND,35.5,Fantasy Score,fantasy,Demon,1631221,10528818,10528818,233411,135137,2026-03-12T19:00:00.000-04:00,,,30.0,1,https://static.prizepicks.com/images/players/NBA/Collin_Gillespie_NBA_player_eBBN9xn1WET1RpK0ZIDTCG1a.webp,,,,,OK,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24.0,1.0,3.0,14.0,23.0,29.0,29.0,29.0,28.0,18.0,21.387096774193548,24.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4278585.0,46.25,42.75,36.5,15.0,44.75,37.75,30.75,31.75,41.75,25.0,37.05,35.225,35.225,4.0,1.0,0.0,0.8,0.8,0.2,0.6,0.4,OK,31.0,OK,5.0,4.0,1.0,0.0,0.8,0.2
