nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_proj,minutes_bucket,actual_minutes,OVERALL_DEF_RANK,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight,min_last10_avg,min_last5_avg,min_season_avg_s4
1642267,Bub Carrington,WAS,MIA,17.5,11.0,points,Demon,OVER,A,5.86,3+,28.1,28-31.99,22.1,10.0,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,MISS,,-1,G,Points,28.12,0,5,0,0.0,10,Good,5.86,5.86,1.0,28.1,23.4,28.11764705882353
1628384,OG Anunoby,NYK,BOS,14.5,,points,Goblin,OVER,A,5.82,3+,34.2,32-35.99,,6.0,1-10 Strong,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F-G,Points,33.05,5,0,0,1.0,6,Elite,5.82,5.82,1.0,34.2,34.8,33.04878048780488
202696,Nikola Vučević,BOS,NYK,10.5,,points,Goblin,OVER,A,5.81,3+,31.2,28-31.99,,6.0,1-10 Strong,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C,Points,30.8,5,0,0,1.0,6,Elite,5.81,5.81,1.0,31.2,30.6,30.79591836734694
202695,Kawhi Leonard,LAC,MIN,32.5,,points,Demon,OVER,A,5.71,3+,29.5,28-31.99,,4.0,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F,Points,32.82,0,5,0,0.0,4,Elite,5.71,5.71,1.0,29.5,31.0,32.81578947368421
1627783,Pascal Siakam,IND,TOR,29.5,,points,Demon,OVER,A,5.64,3+,34.4,32-35.99,,5.0,1-10 Strong,Demon | 32-35.99,OVER | 32-35.99,32-35.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,F,Points,33.96,0,5,0,0.0,5,Elite,5.64,5.64,1.0,34.4,34.0,33.95918367346939
1630174,Aaron Nesmith,IND,TOR,9.5,,points,Goblin,OVER,A,5.63,3+,31.7,28-31.99,,5.0,1-10 Strong,Goblin | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,G-F,Points,30.53,5,0,0,1.0,5,Elite,5.63,5.63,1.0,31.7,31.4,30.53333333333333
1630183,Jaden McDaniels,MIN,LAC,11.5,,points,Goblin,OVER,A,5.63,3+,32.3,32-35.99,,23.0,21-30 Weak,Goblin | 32-35.99,OVER | 32-35.99,32-35.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F,Points,32.16,4,1,0,0.8,23,Bad,5.63,5.63,1.0,32.3,32.8,32.15686274509804
201572,Brook Lopez,LAC,MIN,20.5,,pra,Demon,OVER,A,8.62,3+,20.3,<24,,4.0,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,,,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,17.77,1,4,0,0.2,4,Elite,8.62,5.6,0.65,20.3,23.2,17.772727272727273
1630245,Ayo Dosunmu,MIN,LAC,12.5,,points,Demon,OVER,A,5.5,3+,28.0,28-31.99,,23.0,21-30 Weak,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,G,Points,26.44,4,1,0,0.8,23,Bad,5.5,5.5,1.0,28.0,30.2,26.444444444444443
1629628,RJ Barrett,TOR,IND,11.5,,points,Goblin,OVER,A,5.45,3+,27.7,24-27.99,,21.0,21-30 Weak,Goblin | 24-27.99,OVER | 24-27.99,24-27.99 | 21-30 Weak,,,,VOID,NO_ACTUAL,0,F-G,Points,29.34,5,0,0,1.0,21,Bad,5.45,5.45,1.0,27.7,26.4,29.344827586206897
