nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,allowed_dir,dir_ok,platform_ok,_opp_def_bucket,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket
202696,Nikola Vučević,BOS,MIA,20.5,,pra,Goblin,OVER,A,9.04,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,30.85,4,1,0,0.8,10,Good,9.04,9.49,1.05,Goblin | NA,OVER | NA,NA | NA
1630174,Aaron Nesmith,IND,MIL,24.5,,points,Demon,OVER,A,9.03,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Points,30.66,0,5,0,0.0,14,Avg,9.03,9.03,1.0,Demon | NA,OVER | NA,NA | NA
201942,DeMar DeRozan,SAC,LAC,19.5,,pra,Goblin,OVER,A,8.96,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,33.08,4,1,0,0.8,23,Bad,8.96,9.4,1.05,Goblin | NA,OVER | NA,NA | NA
1630643,Jay Huff,IND,MIL,23.5,,pra,Demon,OVER,A,8.89,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,19.49,0,5,0,0.0,14,Avg,8.89,9.34,1.05,Demon | NA,OVER | NA,NA | NA
202695,Kawhi Leonard,LAC,SAC,34.5,,points,Demon,OVER,A,8.88,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,32.73,0,5,0,0.0,26,Target,8.88,8.88,1.0,Demon | NA,OVER | NA,NA | NA
1629645,Kevin Porter,MIL,IND,33.5,,pra,Demon,OVER,A,8.83,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G-F,Pts+Rebs+Asts,33.38,0,5,0,0.0,21,Bad,8.83,9.27,1.05,Demon | NA,OVER | NA,NA | NA
1628384,OG Anunoby,NYK,DET,11.5,,points,Goblin,OVER,A,8.82,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F-G,Points,33.05,5,0,0,1.0,3,Elite,8.82,8.82,1.0,Goblin | NA,OVER | NA,NA | NA
1642907,Cedric Coward,MEM,POR,29.5,,pra,Demon,OVER,A,8.71,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,26.72,0,5,0,0.0,25,Target,8.71,9.15,1.05,Demon | NA,OVER | NA,NA | NA
202695,Kawhi Leonard,LAC,SAC,44.5,,pra,Demon,OVER,A,8.7,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,32.73,0,5,0,0.0,26,Target,8.7,9.13,1.05,Demon | NA,OVER | NA,NA | NA
1629675,Naz Reid,MIN,NOP,24.5,,points,Demon,OVER,A,8.7,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,C-F,Points,26.42,0,5,0,0.0,26,Target,8.7,8.7,1.0,Demon | NA,OVER | NA,NA | NA
203484,Kentavious Caldwell-Pope,MEM,POR,21.5,,pra,Demon,OVER,A,8.7,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,20.94,0,5,0,0.0,25,Target,8.7,9.13,1.05,Demon | NA,OVER | NA,NA | NA
1628398,Kyle Kuzma,MIL,IND,24.5,,points,Demon,OVER,A,8.69,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,F,Points,27.0,1,4,0,0.2,21,Bad,8.69,8.69,1.0,Demon | NA,OVER | NA,NA | NA
1628973,Jalen Brunson,NYK,DET,41.5,,pra,Demon,OVER,A,8.56,3+,NA,,,,,NA,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,34.67,1,4,0,0.2,3,Elite,8.56,8.99,1.05,Demon | NA,OVER | NA,NA | NA
