nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_bucket,actual_minutes,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,overall_def_rank,def_tier,edge,confidence,prop_weight
1630552,Jalen Johnson,ATL,CHA,34.5,,pra,Goblin,OVER,A,9.55,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,35.67,4,1,0,0.8,14,Avg,9.55,9.55,1.0
2544,LeBron James,LAL,GSW,40.5,,pra,Demon,OVER,A,9.54,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F,Pts+Rebs+Asts,33.15,0,5,0,0.0,22,Bad,9.54,9.54,1.0
1630559,Austin Reaves,LAL,GSW,39.5,,pra,Demon,OVER,A,9.53,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,34.28,1,4,0,0.2,22,Bad,9.53,9.53,1.0
203935,Marcus Smart,LAL,GSW,21.5,,pra,Demon,OVER,A,9.49,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,28.37,0,5,0,0.0,22,Bad,9.49,9.49,1.0
203954,Joel Embiid,PHI,PHX,34.5,,pra,Goblin,OVER,A,9.48,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C-F,Pts+Rebs+Asts,31.2,4,1,0,0.8,19,Bad,9.48,9.48,1.0
1630551,Justin Champagnie,WAS,BKN,17.5,,points,Demon,OVER,A,9.42,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G-F,Points,19.39,0,5,0,0.0,29,Target,9.42,9.42,1.0
203994,Jusuf Nurkić,UTA,ORL,23.5,,pra,Goblin,OVER,A,9.35,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,C,Pts+Rebs+Asts,26.55,4,1,0,0.8,8,Good,9.35,9.35,1.0
1631128,Christian Braun,DEN,CHI,21.5,,pra,Demon,OVER,A,9.32,3+,NA,,NA,Demon | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,G,Pts+Rebs+Asts,29.5,0,5,0,0.0,14,Avg,9.32,9.32,1.0
1628991,Jaren Jackson,UTA,ORL,21.5,,pra,Goblin,OVER,A,9.31,3+,NA,,NA,Goblin | NA,OVER | NA,NA | NA,,,,VOID,NO_ACTUAL,0,F-C,Pts+Rebs+Asts,30.73,5,0,0,1.0,8,Good,9.31,9.31,1.0
1642907,Cedric Coward,MEM,POR,29.5,20.0,pra,Demon,OVER,A,9.19,3+,NA,25.016666666666666,NA,Demon | NA,OVER | NA,NA | NA,,,,MISS,,-1,G,Pts+Rebs+Asts,26.68,0,5,0,0.0,25,Target,9.19,9.19,1.0
