player_norm,espn_athlete_id
giorgio scalvini,309812
isak hien,312862
pietro comi,378618
honest ahanor,388605
relja obric,399540
marten de roon,146335
mario pasalic,189668
ederson,176948
nicola zalewski,288488
lazar samardzic,303296
yunus musah,307527
gianluca scamacca,233140
nikola krstovic,258158
giacomo raspadori,271679
charles de ketelaere,296319
kamaldeen sulemana,303115
henry camara,386832
dominic vavassori,388801
pierluigi gollini,206587
mile svilar,238798
giorgio de marzi,398120
alessio marcaccini,399210
radoslaw zelezny,408132
gianluca mancini,212597
angelino,214319
mario hermoso,222529
kostas tsimikas,226177
evan ndicka,242593
zeki celik,271873
devyne rensch,297300
wesley franca,332354
daniele ghilardi,340705
jan ziolkowski,364223
jacopo mirra,384831
emanuele lulli,409371
bryan cristante,169213
lorenzo pellegrini,204320
manu kone,285226
neil el aynaoui,323807
niccolo pisilli,360235
mattia della rocca,384836
muhammed bah,415750
stephan el shaarawy,130036
paulo dybala,164839
artem dovbyk,226211
donyell malen,259481
evan ferguson,289645
bryan zaragoza,311571
matias soule,323974
robinio vaz,377894
lorenzo venturino,389431
antonio arena,404546
edoardo morucci,418042
ellery balcombe,249527
caoimhin kelleher,275599
hakon valdimarsson,311527
julian eyestone,368826
kristoffer ajer,206173
rico henry,206761
ethan pinnock,241093
sepp van den berg,270507
nathan collins,279780
aaron hickey,283940
michael kayode,356640
joshua stephenson,408469
ollie shield,419118
jordan henderson,127262
vitaly janelt,225564
mathias jensen,227472
fabio carvalho,231049
josh dasilva,246309
mikkel damsgaard,308932
kevin schade,310958
antoni milambo,321081
yehor yarmoliuk,342029
romelle donovan,357477
luka bentt,418500
reiss nelson,227794
keane lewis-potter,284490
igor thiago,301894
dango ouattara,315530
kaye furo,394418
vincenzo sarno,126843
elia caprile,278987
giuseppe ciocci,292387
alen sherri,306210
yerry mina,196901
alberto dossena,252372
gabriele zappa,275943
adam obert,322913
ze pedro,332684
juan rodriguez,264801
marco palestra,362486
othniel raterink,384126
riyad idrissi,387036
andrea cogoni,392669
antoni franke,411231
alessandro deiola,186437
luca mazzitelli,197263
michael folorunsho,252385
michel adopo,272745
gianluca gaetano,276692
sulemana,347018
joseph liteta,407930
ivan sulev,407932
roberto malfitano,419558
leonardo pavoletti,162640
andrea belotti,170755
mattia felici,285937
sebastiano esposito,286929
gennaro borrelli,286948
semih kilicsoy,345212
agustin albarracin,381354
yael trepy,407931
nicola grandu,411232
paul mendy,418819
pietro terracciano,143100
mike maignan,189026
lorenzo torriani,384305
matteo pittarella,407906
pervis estupinan,214689
fikayo tomori,236210
matteo gabbia,255922
strahinja pavlovic,290375
koni de winter,309570
davide bartesaghi,345637
david odogu,362411
zachary athekame,370758
luka modric,76762
adrien rabiot,176203
ruben loftus-cheek,186505
christian pulisic,225607
samuele ricci,276822
youssouf fofana,277307
ardon jashari,303973
emanuele sala,408761
niclas fullkrug,170257
christopher nkunku,222176
rafael leao,258917
santiago gimenez,260775
alexis saelemaekers,271132
cheveyo muy,408850
alex castiello,414376
emanuele borsani,414987
mauro vigorito,115025
jean butez,214740
noel tornqvist,301377
nikola cavlina,306267
henrique menke,382893
alberto moreno,172998
marc-oliver kempf,175887
edoardo goldaniga,181060
alex valle,192146
diego carlos,196860
mergim vojvoda,221436
ignace van der brempt,292199
ivan smolcic,323273
jacobo ramon,380318
cristiano de paoli,404030
sergi roberto,150225
maxence caqueret,265912
lucas da cunha,291285
maximo perrone,309241
martin baturina,311475
nico paz,337970
adrian lahdo,380970
matteo papaccioli,411276
lorenzo bonsignori goggi,411286
samuele pisati,418184
alvaro morata,154446
nicolas kuhn,260262
anastasios douvikas,262071
jayden addai,337858
assane diao,364742
jesus rodriguez,129732
