player,team,prop_type,actual
Jordan Scott,MSU,Offensive Rebounds,2.0
Jordan Scott,MSU,Defensive Rebounds,2.0
Jordan Scott,MSU,Personal Fouls,3.0
Jordan Scott,MSU,Fantasy Score,28.0
Jordan Scott,MSU,Pts+Rebs+Asts,19.0
Jordan Scott,MSU,PRA,19.0
Jordan Scott,MSU,Pts+Rebs,16.0
Jordan Scott,MSU,Pts+Asts,15.0
Jordan Scott,MSU,Rebs+Asts,7.0
Jordan Scott,MSU,Blks+Stls,1.0
Jaxon Kohler,MSU,Points,9.0
Jaxon Kohler,MSU,Rebounds,10.0
Jaxon Kohler,MSU,Assists,0.0
Jaxon Kohler,MSU,Blocked Shots,0.0
Jaxon Kohler,MSU,Steals,0.0
Jaxon Kohler,MSU,Turnovers,1.0
Jaxon Kohler,MSU,FG Made,4.0
Jaxon Kohler,MSU,FG Attempted,8.0
Jaxon Kohler,MSU,3-PT Made,1.0
Jaxon Kohler,MSU,3-PT Attempted,4.0
Jaxon Kohler,MSU,Two Pointers Made,3.0
Jaxon Kohler,MSU,Two Pointers Attempted,4.0
Jaxon Kohler,MSU,Free Throws Made,0.0
Jaxon Kohler,MSU,Free Throws Attempted,0.0
Jaxon Kohler,MSU,Offensive Rebounds,2.0
Jaxon Kohler,MSU,Defensive Rebounds,8.0
Jaxon Kohler,MSU,Personal Fouls,5.0
Jaxon Kohler,MSU,Fantasy Score,27.5
Jaxon Kohler,MSU,Pts+Rebs+Asts,19.0
Jaxon Kohler,MSU,PRA,19.0
Jaxon Kohler,MSU,Pts+Rebs,19.0
Jaxon Kohler,MSU,Pts+Asts,9.0
Jaxon Kohler,MSU,Rebs+Asts,10.0
Jaxon Kohler,MSU,Blks+Stls,0.0
Coen Carr,MSU,Points,5.0
Coen Carr,MSU,Rebounds,8.0
Coen Carr,MSU,Assists,1.0
Coen Carr,MSU,Blocked Shots,0.0
Coen Carr,MSU,Steals,0.0
Coen Carr,MSU,Turnovers,1.0
Coen Carr,MSU,FG Made,2.0
Coen Carr,MSU,FG Attempted,7.0
Coen Carr,MSU,3-PT Made,0.0
Coen Carr,MSU,3-PT Attempted,1.0
Coen Carr,MSU,Two Pointers Made,2.0
Coen Carr,MSU,Two Pointers Attempted,6.0
Coen Carr,MSU,Free Throws Made,1.0
Coen Carr,MSU,Free Throws Attempted,4.0
Coen Carr,MSU,Offensive Rebounds,2.0
Coen Carr,MSU,Defensive Rebounds,6.0
Coen Carr,MSU,Personal Fouls,2.0
Coen Carr,MSU,Fantasy Score,16.0
Coen Carr,MSU,Pts+Rebs+Asts,14.0
Coen Carr,MSU,PRA,14.0
Coen Carr,MSU,Pts+Rebs,13.0
Coen Carr,MSU,Pts+Asts,6.0
Coen Carr,MSU,Rebs+Asts,9.0
Coen Carr,MSU,Blks+Stls,0.0
Carson Cooper,MSU,Points,20.0
Carson Cooper,MSU,Rebounds,11.0
Carson Cooper,MSU,Assists,3.0
Carson Cooper,MSU,Blocked Shots,0.0
Carson Cooper,MSU,Steals,0.0
Carson Cooper,MSU,Turnovers,1.0
Carson Cooper,MSU,FG Made,7.0
Carson Cooper,MSU,FG Attempted,10.0
Carson Cooper,MSU,3-PT Made,0.0
Carson Cooper,MSU,3-PT Attempted,0.0
Carson Cooper,MSU,Two Pointers Made,7.0
Carson Cooper,MSU,Two Pointers Attempted,10.0
Carson Cooper,MSU,Free Throws Made,6.0
Carson Cooper,MSU,Free Throws Attempted,6.0
Carson Cooper,MSU,Offensive Rebounds,3.0
Carson Cooper,MSU,Defensive Rebounds,8.0
Carson Cooper,MSU,Personal Fouls,1.0
Carson Cooper,MSU,Fantasy Score,48.2
Carson Cooper,MSU,Pts+Rebs+Asts,34.0
Carson Cooper,MSU,PRA,34.0
Carson Cooper,MSU,Pts+Rebs,31.0
Carson Cooper,MSU,Pts+Asts,23.0
Carson Cooper,MSU,Rebs+Asts,14.0
Carson Cooper,MSU,Blks+Stls,0.0
Jeremy Fears Jr.,MSU,Points,11.0
Jeremy Fears Jr.,MSU,Rebounds,1.0
Jeremy Fears Jr.,MSU,Assists,8.0
Jeremy Fears Jr.,MSU,Blocked Shots,0.0
Jeremy Fears Jr.,MSU,Steals,2.0
Jeremy Fears Jr.,MSU,Turnovers,4.0
Jeremy Fears Jr.,MSU,FG Made,2.0
Jeremy Fears Jr.,MSU,FG Attempted,7.0
Jeremy Fears Jr.,MSU,3-PT Made,1.0
Jeremy Fears Jr.,MSU,3-PT Attempted,1.0
Jeremy Fears Jr.,MSU,Two Pointers Made,1.0
Jeremy Fears Jr.,MSU,Two Pointers Attempted,6.0
Jeremy Fears Jr.,MSU,Free Throws Made,6.0
Jeremy Fears Jr.,MSU,Free Throws Attempted,6.0
Jeremy Fears Jr.,MSU,Offensive Rebounds,0.0
Jeremy Fears Jr.,MSU,Defensive Rebounds,1.0
Jeremy Fears Jr.,MSU,Personal Fouls,3.0
Jeremy Fears Jr.,MSU,Fantasy Score,31.2
Jeremy Fears Jr.,MSU,Pts+Rebs+Asts,20.0
Jeremy Fears Jr.,MSU,PRA,20.0
Jeremy Fears Jr.,MSU,Pts+Rebs,12.0
Jeremy Fears Jr.,MSU,Pts+Asts,19.0
Jeremy Fears Jr.,MSU,Rebs+Asts,9.0
Jeremy Fears Jr.,MSU,Blks+Stls,2.0
Jesse McCulloch,MSU,Points,0.0
Jesse McCulloch,MSU,Rebounds,0.0
Jesse McCulloch,MSU,Assists,0.0
Jesse McCulloch,MSU,Blocked Shots,0.0
Jesse McCulloch,MSU,Steals,0.0
Jesse McCulloch,MSU,Turnovers,0.0
Jesse McCulloch,MSU,FG Made,0.0
Jesse McCulloch,MSU,FG Attempted,1.0
Jesse McCulloch,MSU,3-PT Made,0.0
Jesse McCulloch,MSU,3-PT Attempted,0.0
Jesse McCulloch,MSU,Two Pointers Made,0.0
Jesse McCulloch,MSU,Two Pointers Attempted,1.0
Jesse McCulloch,MSU,Free Throws Made,0.0
Jesse McCulloch,MSU,Free Throws Attempted,0.0
Jesse McCulloch,MSU,Offensive Rebounds,0.0
Jesse McCulloch,MSU,Defensive Rebounds,0.0
Jesse McCulloch,MSU,Personal Fouls,2.0
Jesse McCulloch,MSU,Fantasy Score,0.0
Jesse McCulloch,MSU,Pts+Rebs+Asts,0.0
Jesse McCulloch,MSU,PRA,0.0
Jesse McCulloch,MSU,Pts+Rebs,0.0
Jesse McCulloch,MSU,Pts+Asts,0.0
Jesse McCulloch,MSU,Rebs+Asts,0.0
Jesse McCulloch,MSU,Blks+Stls,0.0
Cam Ward,MSU,Points,4.0
Cam Ward,MSU,Rebounds,4.0
Cam Ward,MSU,Assists,0.0
Cam Ward,MSU,Blocked Shots,1.0
Cam Ward,MSU,Steals,0.0
Cam Ward,MSU,Turnovers,0.0
Cam Ward,MSU,FG Made,1.0
Cam Ward,MSU,FG Attempted,3.0
Cam Ward,MSU,3-PT Made,0.0
Cam Ward,MSU,3-PT Attempted,0.0
Cam Ward,MSU,Two Pointers Made,1.0
Cam Ward,MSU,Two Pointers Attempted,3.0
Cam Ward,MSU,Free Throws Made,2.0
Cam Ward,MSU,Free Throws Attempted,4.0
Cam Ward,MSU,Offensive Rebounds,2.0
Cam Ward,MSU,Defensive Rebounds,2.0
Cam Ward,MSU,Personal Fouls,0.0
Cam Ward,MSU,Fantasy Score,11.0
Cam Ward,MSU,Pts+Rebs+Asts,8.0
Cam Ward,MSU,PRA,8.0
Cam Ward,MSU,Pts+Rebs,8.0
Cam Ward,MSU,Pts+Asts,4.0
Cam Ward,MSU,Rebs+Asts,4.0
Cam Ward,MSU,Blks+Stls,1.0
Kur Teng,MSU,Points,5.0
Kur Teng,MSU,Rebounds,1.0
Kur Teng,MSU,Assists,1.0
Kur Teng,MSU,Blocked Shots,0.0
Kur Teng,MSU,Steals,0.0
Kur Teng,MSU,Turnovers,1.0
Kur Teng,MSU,FG Made,2.0
Kur Teng,MSU,FG Attempted,9.0
Kur Teng,MSU,3-PT Made,1.0
Kur Teng,MSU,3-PT Attempted,5.0
Kur Teng,MSU,Two Pointers Made,1.0
Kur Teng,MSU,Two Pointers Attempted,4.0
Kur Teng,MSU,Free Throws Made,0.0
Kur Teng,MSU,Free Throws Attempted,0.0
Kur Teng,MSU,Offensive Rebounds,1.0
Kur Teng,MSU,Defensive Rebounds,0.0
Kur Teng,MSU,Personal Fouls,1.0
Kur Teng,MSU,Fantasy Score,7.8
Kur Teng,MSU,Pts+Rebs+Asts,7.0
Kur Teng,MSU,PRA,7.0
Kur Teng,MSU,Pts+Rebs,6.0
Kur Teng,MSU,Pts+Asts,6.0
Kur Teng,MSU,Rebs+Asts,2.0
Kur Teng,MSU,Blks+Stls,0.0
Trey Fort,MSU,Points,0.0
Trey Fort,MSU,Rebounds,0.0
Trey Fort,MSU,Assists,0.0
Trey Fort,MSU,Blocked Shots,0.0
Trey Fort,MSU,Steals,0.0
Trey Fort,MSU,Turnovers,0.0
Trey Fort,MSU,FG Made,0.0
Trey Fort,MSU,FG Attempted,3.0
Trey Fort,MSU,3-PT Made,0.0
Trey Fort,MSU,3-PT Attempted,2.0
Trey Fort,MSU,Two Pointers Made,0.0
Trey Fort,MSU,Two Pointers Attempted,1.0
Trey Fort,MSU,Free Throws Made,0.0
Trey Fort,MSU,Free Throws Attempted,0.0
Trey Fort,MSU,Offensive Rebounds,0.0
Trey Fort,MSU,Defensive Rebounds,0.0
Trey Fort,MSU,Personal Fouls,0.0
Trey Fort,MSU,Fantasy Score,0.0
Trey Fort,MSU,Pts+Rebs+Asts,0.0
Trey Fort,MSU,PRA,0.0
Trey Fort,MSU,Pts+Rebs,0.0
Trey Fort,MSU,Pts+Asts,0.0
Trey Fort,MSU,Rebs+Asts,0.0
Trey Fort,MSU,Blks+Stls,0.0
Denham Wojcik,MSU,Points,0.0
Denham Wojcik,MSU,Rebounds,1.0
Denham Wojcik,MSU,Assists,2.0
Denham Wojcik,MSU,Blocked Shots,0.0
Denham Wojcik,MSU,Steals,0.0
Denham Wojcik,MSU,Turnovers,0.0
Denham Wojcik,MSU,FG Made,0.0
Denham Wojcik,MSU,FG Attempted,0.0
Denham Wojcik,MSU,3-PT Made,0.0
Denham Wojcik,MSU,3-PT Attempted,0.0
Denham Wojcik,MSU,Two Pointers Made,0.0
Denham Wojcik,MSU,Two Pointers Attempted,0.0
Denham Wojcik,MSU,Free Throws Made,0.0
Denham Wojcik,MSU,Free Throws Attempted,0.0
Denham Wojcik,MSU,Offensive Rebounds,0.0
Denham Wojcik,MSU,Defensive Rebounds,1.0
Denham Wojcik,MSU,Personal Fouls,0.0
Denham Wojcik,MSU,Fantasy Score,4.2
Denham Wojcik,MSU,Pts+Rebs+Asts,3.0
Denham Wojcik,MSU,PRA,3.0
Denham Wojcik,MSU,Pts+Rebs,1.0
Denham Wojcik,MSU,Pts+Asts,2.0
Denham Wojcik,MSU,Rebs+Asts,3.0
Denham Wojcik,MSU,Blks+Stls,0.0
Cam Manyawu,IOWA,Points,4.0
Cam Manyawu,IOWA,Rebounds,7.0
Cam Manyawu,IOWA,Assists,0.0
Cam Manyawu,IOWA,Blocked Shots,0.0
Cam Manyawu,IOWA,Steals,0.0
Cam Manyawu,IOWA,Turnovers,0.0
Cam Manyawu,IOWA,FG Made,2.0
Cam Manyawu,IOWA,FG Attempted,5.0
Cam Manyawu,IOWA,3-PT Made,0.0
Cam Manyawu,IOWA,3-PT Attempted,0.0
Cam Manyawu,IOWA,Two Pointers Made,2.0
Cam Manyawu,IOWA,Two Pointers Attempted,5.0
Cam Manyawu,IOWA,Free Throws Made,0.0
Cam Manyawu,IOWA,Free Throws Attempted,0.0
Cam Manyawu,IOWA,Offensive Rebounds,4.0
Cam Manyawu,IOWA,Defensive Rebounds,3.0
Cam Manyawu,IOWA,Personal Fouls,2.0
Cam Manyawu,IOWA,Fantasy Score,12.8
Cam Manyawu,IOWA,Pts+Rebs+Asts,11.0
Cam Manyawu,IOWA,PRA,11.0
Cam Manyawu,IOWA,Pts+Rebs,11.0
Cam Manyawu,IOWA,Pts+Asts,4.0
Cam Manyawu,IOWA,Rebs+Asts,7.0
Cam Manyawu,IOWA,Blks+Stls,0.0
Cooper Koch,IOWA,Points,6.0
Cooper Koch,IOWA,Rebounds,0.0
Cooper Koch,IOWA,Assists,3.0
Cooper Koch,IOWA,Blocked Shots,0.0
Cooper Koch,IOWA,Steals,0.0
Cooper Koch,IOWA,Turnovers,1.0
Cooper Koch,IOWA,FG Made,2.0
Cooper Koch,IOWA,FG Attempted,11.0
Cooper Koch,IOWA,3-PT Made,2.0
Cooper Koch,IOWA,3-PT Attempted,10.0
Cooper Koch,IOWA,Two Pointers Made,0.0
Cooper Koch,IOWA,Two Pointers Attempted,1.0
Cooper Koch,IOWA,Free Throws Made,0.0
Cooper Koch,IOWA,Free Throws Attempted,0.0
Cooper Koch,IOWA,Offensive Rebounds,0.0
Cooper Koch,IOWA,Defensive Rebounds,0.0
Cooper Koch,IOWA,Personal Fouls,1.0
Cooper Koch,IOWA,Fantasy Score,11.0
Cooper Koch,IOWA,Pts+Rebs+Asts,9.0
Cooper Koch,IOWA,PRA,9.0
Cooper Koch,IOWA,Pts+Rebs,6.0
Cooper Koch,IOWA,Pts+Asts,9.0
Cooper Koch,IOWA,Rebs+Asts,3.0
Cooper Koch,IOWA,Blks+Stls,0.0
Bennett Stirtz,IOWA,Points,23.0
Bennett Stirtz,IOWA,Rebounds,1.0
Bennett Stirtz,IOWA,Assists,2.0
Bennett Stirtz,IOWA,Blocked Shots,0.0
Bennett Stirtz,IOWA,Steals,1.0
Bennett Stirtz,IOWA,Turnovers,3.0
Bennett Stirtz,IOWA,FG Made,9.0
Bennett Stirtz,IOWA,FG Attempted,16.0
Bennett Stirtz,IOWA,3-PT Made,3.0
Bennett Stirtz,IOWA,3-PT Attempted,8.0
Bennett Stirtz,IOWA,Two Pointers Made,6.0
Bennett Stirtz,IOWA,Two Pointers Attempted,8.0
Bennett Stirtz,IOWA,Free Throws Made,2.0
Bennett Stirtz,IOWA,Free Throws Attempted,3.0
Bennett Stirtz,IOWA,Offensive Rebounds,0.0
Bennett Stirtz,IOWA,Defensive Rebounds,1.0
Bennett Stirtz,IOWA,Personal Fouls,1.0
Bennett Stirtz,IOWA,Fantasy Score,33.8
Bennett Stirtz,IOWA,Pts+Rebs+Asts,26.0
Bennett Stirtz,IOWA,PRA,26.0
Bennett Stirtz,IOWA,Pts+Rebs,24.0
Bennett Stirtz,IOWA,Pts+Asts,25.0
Bennett Stirtz,IOWA,Rebs+Asts,3.0
Bennett Stirtz,IOWA,Blks+Stls,1.0
Tavion Banks,IOWA,Points,10.0
Tavion Banks,IOWA,Rebounds,1.0
Tavion Banks,IOWA,Assists,1.0
Tavion Banks,IOWA,Blocked Shots,0.0
Tavion Banks,IOWA,Steals,0.0
Tavion Banks,IOWA,Turnovers,1.0
Tavion Banks,IOWA,FG Made,5.0
Tavion Banks,IOWA,FG Attempted,6.0
Tavion Banks,IOWA,3-PT Made,0.0
Tavion Banks,IOWA,3-PT Attempted,0.0
Tavion Banks,IOWA,Two Pointers Made,5.0
Tavion Banks,IOWA,Two Pointers Attempted,6.0
Tavion Banks,IOWA,Free Throws Made,0.0
Tavion Banks,IOWA,Free Throws Attempted,0.0
Tavion Banks,IOWA,Offensive Rebounds,0.0
Tavion Banks,IOWA,Defensive Rebounds,1.0
Tavion Banks,IOWA,Personal Fouls,4.0
Tavion Banks,IOWA,Fantasy Score,16.8
Tavion Banks,IOWA,Pts+Rebs+Asts,12.0
Tavion Banks,IOWA,PRA,12.0
Tavion Banks,IOWA,Pts+Rebs,11.0
Tavion Banks,IOWA,Pts+Asts,11.0
