projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id
10404534,267737,Chris Kreider,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8475184
10404536,267737,Chris Kreider,ANA,F,Shots On Goal,1.5,goblin,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8475184
10404537,218282,Colton Parayko,STL,D,Blocked Shots,1.5,goblin,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,blocked_shots,SKATER,ANA,0,8476892
10404540,215935,Cutter Gauthier,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8483445
10404545,218311,Dylan Holloway,STL,F,Points,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,ANA,0,8482077
10404554,218355,Jackson LaCombe,ANA,D,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8481605
10404557,218355,Jackson LaCombe,ANA,D,Shots On Goal,1.5,standard,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8481605
10404559,221656,Jacob Trouba,ANA,D,Blocked Shots,1.5,standard,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,blocked_shots,SKATER,STL,1,8476885
10404563,221656,Jacob Trouba,ANA,D,Shots On Goal,1.5,goblin,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8476885
10404570,268035,Jimmy Snuggerud,STL,F,Points,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,ANA,0,8483516
10404577,173423,Leo Carlsson,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8484153
10404586,87297,Mason McTavish,ANA,F,Shots On Goal,1.5,goblin,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8482745
10404589,267739,Mikael Granlund,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8475798
10404596,218232,Pavel Buchnevich,STL,F,Shots On Goal,1.5,goblin,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,ANA,0,8477402
10404603,58601,Robert Thomas,STL,F,Points,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,ANA,0,8480023
10404803,268295,Beckett Sennecke,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8484762
10404804,221656,Jacob Trouba,ANA,D,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8476885
10404805,58161,Jordan Kyrou,STL,F,Points,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,ANA,0,8479385
10404806,87297,Mason McTavish,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8482745
10404807,218232,Pavel Buchnevich,STL,F,Points,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,ANA,0,8477402
10408680,218287,Alex Killorn,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8473986
10408681,268296,Ryan Poehling,ANA,F,Points,1.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,STL,1,8480068
10408719,287074,Jonatan Berggren,STL,F,Points,1.5,demon,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,points,SKATER,ANA,0,8481013
