rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,sample_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge
11,A,Brandon Hagel,TB,BUF,0,SKATER,F,Hits,hits,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,ELITE,PP_OCC,ELITE,8,2.952,0.000,0.000,1.018,0.161,19.23,19.75,1.15000,0.5000
12,A,Victor Hedman,TB,BUF,0,SKATER,D,Shots On Goal,shots_on_goal,3.5,UNDER,95.4%,100.0%,90.0%,95.0%,96.3%,5,10,20,27,2.40,2.00,2.00,2.07,-1.1,-1.5,2,3,2,30,SECONDARY,PP_REGULAR,ELITE,8,2.952,0.000,0.000,0.556,0.222,22.34,19.30,1.14826,0.4538
13,A,Patrick Kane,DET,NJ,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,99.7%,100.0%,100.0%,100.0%,96.7%,5,10,20,30,2.20,2.40,2.75,2.80,-2.3,-2.1,1,1,3,30,SECONDARY,PP_REGULAR,,,,,,0.708,0.250,19.11,17.20,1.14630,0.4967
14,A,Jason Robertson,DAL,CHI,1,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,93.3%,100.0%,90.0%,90.0%,83.3%,5,10,20,30,1.60,1.60,1.85,2.43,-2.9,-2.9,0,1,3,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.194,0.500,16.42,19.95,1.14530,0.4333
15,A,Nikita Kucherov,TB,BUF,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,89.8%,100.0%,80.0%,85.0%,90.0%,5,10,20,30,2.60,3.30,3.20,3.23,-2.9,-2.2,3,3,4,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.754,0.526,20.30,20.47,1.14520,0.3975
16,A,Tyler Bertuzzi,CHI,DAL,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,95.0%,100.0%,100.0%,80.0%,80.0%,5,10,20,30,1.20,1.50,1.40,1.43,-2.3,-2.0,0,3,0,30,SECONDARY,PP_REGULAR,ELITE,3,2.742,0.000,0.000,0.780,0.339,15.46,18.35,1.14400,0.4500
17,A,Moritz Seider,DET,NJ,0,SKATER,D,Shots On Goal,shots_on_goal,3.5,UNDER,99.3%,100.0%,100.0%,100.0%,93.3%,5,10,20,30,2.40,1.60,1.95,2.00,-1.1,-1.9,3,1,2,30,SECONDARY,PP_REGULAR,,,,,,0.651,0.302,24.98,25.65,1.14250,0.4933
18,A,Kirill Kaprizov,MIN,COL,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.188,0.453,22.09,22.38,1.14000,0.5000
19,A,Matt Boldy,MIN,COL,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.200,0.400,22.06,20.82,1.14000,0.5000
20,A,Quinn Hughes,MIN,COL,0,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.250,0.531,27.09,27.98,1.14000,0.5000
21,A,Nikita Kucherov,TB,BUF,0,SKATER,F,Time On Ice,time_on_ice,22.2,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.754,0.526,20.30,20.47,1.14000,0.5000
22,A,Sam Rinzel,CHI,DAL,0,SKATER,D,Shots On Goal,shots_on_goal,3.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,2.20,2.44,2.44,2.44,-1.3,-1.056,2,4,1,9,DEPTH,NO_PP,ELITE,3,2.742,0.000,0.000,0.324,0.029,23.36,17.45,1.14000,0.5000
23,A,Darren Raddysh,TB,BUF,0,SKATER,D,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.000,0.400,13.41,22.60,1.14000,0.5000
24,A,Darren Raddysh,TB,BUF,0,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.000,0.400,13.41,22.60,1.14000,0.5000
25,A,Jake Guentzel,TB,BUF,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.098,0.410,19.69,20.40,1.14000,0.5000
26,A,Jake Guentzel,TB,BUF,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.098,0.410,19.69,20.40,1.14000,0.5000
27,A,Nikita Kucherov,TB,BUF,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.754,0.526,20.30,20.47,1.14000,0.5000
28,A,Nikita Kucherov,TB,BUF,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.754,0.526,20.30,20.47,1.14000,0.5000
29,A,Anthony Mantha,PIT,BOS,1,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,98.9%,100.0%,100.0%,95.0%,96.7%,5,10,20,30,1.40,0.90,1.15,1.15,-2.1,-2.6,1,4,1,13,SECONDARY,PP_OCC,AVERAGE,18,3.145,0.000,0.000,0.726,0.161,13.75,15.00,1.13790,0.4892
30,A,Josh Doan,BUF,TB,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,98.9%,100.0%,100.0%,95.0%,96.7%,5,10,20,30,3.00,2.20,1.85,1.97,-0.5,-1.3,4,1,3,30,SECONDARY,PP_REGULAR,,,,,,0.667,0.238,12.96,16.15,1.13790,0.4892
31,A,Nikita Kucherov,TB,BUF,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,88.7%,100.0%,80.0%,80.0%,86.7%,5,10,20,30,2.60,3.30,3.20,3.23,-1.9,-1.2,3,3,4,30,ELITE,PP1_STAR,ELITE,8,2.952,0.000,0.000,1.754,0.526,20.30,20.47,1.13310,0.3867
32,A,Mats Zuccarello,MIN,COL,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,94.0%,100.0%,90.0%,90.0%,90.0%,5,10,20,30,2.60,2.10,2.45,2.17,-0.9,-1.4,2,4,1,30,SECONDARY,PP_REGULAR,ELITE,1,2.500,0.000,0.000,0.864,0.341,20.21,18.82,1.13280,0.4400
33,A,Lucas Raymond,DET,NJ,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,95.1%,100.0%,90.0%,95.0%,93.3%,5,10,20,30,2.00,2.50,2.25,2.47,-2.5,-2.0,1,2,4,30,ELITE,PP_REGULAR,,,,,,1.066,0.377,17.51,18.67,1.12490,0.4508
34,A,Jamie Benn,DAL,CHI,1,SKATER,F,Shots On Goal,shots_on_goal,2.5,UNDER,97.6%,100.0%,100.0%,95.0%,83.3%,5,10,20,30,2.60,1.80,1.50,1.40,0.1,-0.7,3,3,3,30,SECONDARY,PP_OCC,AVERAGE,23,3.242,0.000,0.000,0.650,0.075,14.90,12.77,1.12290,0.4758
35,A,Connor McDavid,EDM,VGK,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,92.0%,100.0%,90.0%,90.0%,70.0%,5,10,20,30,1.80,1.90,2.40,2.70,-3.7,-3.6,1,4,4,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.683,0.683,21.02,23.10,1.12040,0.4200
36,A,Brock Faber,MIN,COL,0,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SECONDARY,PP_OCC,ELITE,1,2.500,0.000,0.000,0.656,0.141,26.70,24.85,1.12000,0.5000
37,A,Brock Faber,MIN,COL,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SECONDARY,PP_OCC,ELITE,1,2.500,0.000,0.000,0.656,0.141,26.70,24.85,1.12000,0.5000
38,A,Cale Makar,COL,MIN,1,SKATER,D,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.065,0.371,26.74,25.05,1.12000,0.5000
39,A,Cale Makar,COL,MIN,1,SKATER,D,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.065,0.371,26.74,25.05,1.12000,0.5000
40,A,Martin Necas,COL,MIN,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.288,0.271,18.93,21.20,1.12000,0.5000
41,A,Martin Necas,COL,MIN,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.288,0.271,18.93,21.20,1.12000,0.5000
42,A,Nathan MacKinnon,COL,MIN,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.705,0.393,22.18,22.28,1.12000,0.5000
43,A,Victor Hedman,TB,BUF,0,SKATER,D,Shots On Goal,shots_on_goal,2.5,UNDER,92.8%,100.0%,90.0%,85.0%,85.2%,5,10,20,27,2.40,2.00,2.00,2.07,-0.1,-0.5,2,3,2,30,SECONDARY,PP_REGULAR,ELITE,8,2.952,0.000,0.000,0.556,0.222,22.34,19.30,1.11902,0.4277
44,A,Kirill Kaprizov,MIN,COL,0,SKATER,F,Points,points,2.5,UNDER,97.2%,100.0%,100.0%,90.0%,86.7%,5,10,20,30,1.00,0.80,1.05,1.17,-1.5,-1.7,0,1,0,30,ELITE,PP1_STAR,ELITE,1,2.500,0.000,0.000,1.188,0.453,22.09,22.38,1.11170,0.4717
45,A,Brayden Point,TB,BUF,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,89.4%,100.0%,80.0%,85.0%,86.7%,5,10,20,30,1.00,2.10,2.15,2.37,-3.5,-2.4,1,1,0,30,ELITE,PP_REGULAR,ELITE,8,2.952,0.000,0.000,0.907,0.209,18.73,18.25,1.11150,0.3942
46,A,David Pastrnak,BOS,PIT,0,SKATER,F,Time On Ice,time_on_ice,22.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,SOLID,9,2.968,0.000,0.000,1.298,0.491,18.95,20.43,1.11000,0.5000
47,A,Kris Letang,PIT,BOS,1,SKATER,D,Shots On Goal,shots_on_goal,3.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,1.60,2.50,2.15,2.13,-1.9,-1.0,1,2,2,30,DEPTH,PP_OCC,AVERAGE,18,3.145,0.000,0.000,0.482,0.161,23.29,21.93,1.11000,0.5000
48,A,David Pastrnak,BOS,PIT,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,SOLID,9,2.968,0.000,0.000,1.298,0.491,18.95,20.43,1.11000,0.5000
49,A,Connor Bedard,CHI,DAL,0,SKATER,F,Time On Ice,time_on_ice,21.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,3,2.742,0.000,0.000,1.163,0.347,20.66,20.93,1.11000,0.5000
50,A,Connor Bedard,CHI,DAL,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,3,2.742,0.000,0.000,1.163,0.347,20.66,20.93,1.11000,0.5000
51,A,Brayden Point,TB,BUF,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,8,2.952,0.000,0.000,0.907,0.209,18.73,18.25,1.11000,0.5000
52,A,Brayden Point,TB,BUF,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_REGULAR,ELITE,8,2.952,0.000,0.000,0.907,0.209,18.73,18.25,1.11000,0.5000
53,A,Brayden Point,TB,BUF,0,SKATER,F,Shots On Goal,shots_on_goal,3.5,UNDER,89.1%,100.0%,80.0%,85.0%,83.3%,5,10,20,30,1.00,2.10,2.15,2.37,-2.5,-1.4,1,1,0,30,ELITE,PP_REGULAR,ELITE,8,2.952,0.000,0.000,0.907,0.209,18.73,18.25,1.10770,0.3908
54,A,Rasmus Dahlin,BUF,TB,0,SKATER,D,Shots On Goal,shots_on_goal,4.5,UNDER,93.3%,100.0%,90.0%,90.0%,83.3%,5,10,20,30,3.80,2.80,3.00,2.83,-0.7,-1.7,0,4,4,30,ELITE,PP_REGULAR,,,,,,0.915,0.305,23.83,24.52,1.10530,0.4333
55,A,Joel Eriksson Ek,MIN,COL,0,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,91.5%,100.0%,90.0%,80.0%,80.0%,5,10,20,30,4.40,4.20,3.60,3.37,-0.1,-0.3,6,1,2,30,SECONDARY,PP_REGULAR,ELITE,1,2.500,0.000,0.000,0.741,0.276,20.50,19.28,1.10480,0.4150
56,A,Nathan MacKinnon,COL,MIN,1,SKATER,F,Points,points,3.5,UNDER,98.2%,100.0%,100.0%,95.0%,90.0%,5,10,20,30,1.40,1.20,1.45,1.37,-2.1,-2.3,1,1,3,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.705,0.393,22.18,22.28,1.10250,0.4825
57,A,Nazem Kadri,COL,MIN,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,NO_PP,ELITE,6,2.891,0.000,0.000,1.000,0.000,19.84,21.78,1.10000,0.5000
58,A,Nazem Kadri,COL,MIN,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,NO_PP,ELITE,6,2.891,0.000,0.000,1.000,0.000,19.84,21.78,1.10000,0.5000
59,A,Elias Lindholm,BOS,PIT,0,SKATER,F,Hits,hits,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SECONDARY,PP_REGULAR,SOLID,9,2.968,0.000,0.000,0.816,0.388,17.40,17.73,1.10000,0.5000
60,A,Charlie McAvoy,BOS,PIT,0,SKATER,D,Blocked Shots,blocked_shots,2.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SECONDARY,PP_REGULAR,SOLID,9,2.968,0.000,0.000,0.880,0.360,23.67,24.28,1.10000,0.5000
61,A,Charlie McAvoy,BOS,PIT,0,SKATER,D,Blocked Shots,blocked_shots,1.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SECONDARY,PP_REGULAR,SOLID,9,2.968,0.000,0.000,0.880,0.360,23.67,24.28,1.10000,0.5000
62,A,Jason Robertson,DAL,CHI,1,SKATER,F,Time On Ice,time_on_ice,21.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.194,0.500,16.42,19.95,1.10000,0.5000
63,A,Jason Robertson,DAL,CHI,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.194,0.500,16.42,19.95,1.10000,0.5000
64,A,Jason Robertson,DAL,CHI,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.194,0.500,16.42,19.95,1.10000,0.5000
65,A,Wyatt Johnston,DAL,CHI,1,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.081,0.532,18.18,20.07,1.10000,0.5000
66,A,Wyatt Johnston,DAL,CHI,1,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.081,0.532,18.18,20.07,1.10000,0.5000
67,A,Brandon Hagel,TB,BUF,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_OCC,ELITE,8,2.952,0.000,0.000,1.018,0.161,19.23,19.75,1.10000,0.5000
68,A,Brandon Hagel,TB,BUF,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP_OCC,ELITE,8,2.952,0.000,0.000,1.018,0.161,19.23,19.75,1.10000,0.5000
69,A,Nico Hischier,NJ,DET,0,SKATER,F,Hits,hits,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,0.00,0.00,0.00,0.00,,,0,0,0,30,SECONDARY,PP_REGULAR,SOLID,14,3.016,0.000,0.000,0.730,0.238,20.67,20.85,1.10000,0.5000
70,A,Noah Hanifin,VGK,EDM,1,SKATER,D,Shots On Goal,shots_on_goal,0.5,OVER,95.4%,100.0%,100.0%,85.0%,76.7%,5,10,20,30,1.80,1.70,1.50,1.67,1.3,1.2,2,2,3,30,DEPTH,PP_OCC,WEAK,27,3.429,0.000,0.000,0.404,0.115,21.65,23.15,1.09870,0.4542
71,A,Alex DeBrincat,DET,NJ,0,SKATER,F,Shots On Goal,shots_on_goal,5.5,UNDER,92.6%,100.0%,90.0%,85.0%,83.3%,5,10,20,30,3.00,3.30,3.50,3.53,-2.5,-2.2,3,6,1,30,ELITE,PP_REGULAR,,,,,,1.000,0.286,18.66,18.15,1.09690,0.4258
72,A,Wyatt Johnston,DAL,CHI,1,SKATER,F,Points,points,2.5,UNDER,99.7%,100.0%,100.0%,100.0%,96.7%,5,10,20,30,0.60,0.60,0.60,0.87,-1.9,-1.9,0,1,1,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.081,0.532,18.18,20.07,1.09670,0.4967
73,A,Wyatt Johnston,DAL,CHI,1,SKATER,F,Assists,assists,1.5,UNDER,99.7%,100.0%,100.0%,100.0%,96.7%,5,10,20,30,0.20,0.10,0.10,0.27,-1.3,-1.4,0,0,0,30,ELITE,PP1_STAR,AVERAGE,23,3.242,0.000,0.000,1.081,0.532,18.18,20.07,1.09670,0.4967
74,A,Shea Theodore,VGK,EDM,1,SKATER,D,Shots On Goal,shots_on_goal,3.5,UNDER,98.7%,100.0%,100.0%,100.0%,86.7%,5,10,20,30,1.60,1.50,1.85,1.97,-1.9,-2.0,2,2,1,30,SECONDARY,PP_OCC,WEAK,27,3.429,0.000,0.000,0.569,0.078,22.18,23.58,1.09510,0.4867
75,A,Nathan MacKinnon,COL,MIN,1,SKATER,F,Assists,assists,2.5,UNDER,97.5%,100.0%,100.0%,90.0%,90.0%,5,10,20,30,1.00,0.70,0.90,0.93,-1.5,-1.8,1,0,2,30,ELITE,PP_REGULAR,ELITE,6,2.891,0.000,0.000,1.705,0.393,22.18,22.28,1.09500,0.4750
76,A,Leo Carlsson,ANA,STL,1,SKATER,F,Shots On Goal,shots_on_goal,4.5,UNDER,94.8%,100.0%,90.0%,95.0%,90.0%,5,10,20,30,2.80,2.20,2.00,1.80,-1.7,-2.3,2,8,0,30,ELITE,PP_REGULAR,WEAK,26,3.419,0.000,0.000,1.040,0.280,18.24,19.35,1.09120,0.4475
77,A,Corey Perry,TB,BUF,0,SKATER,F,Plus/Minus,plus/minus,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,NO_PP,ELITE,8,2.952,0.000,0.000,1.000,0.000,15.43,14.97,1.09000,0.5000
78,A,Corey Perry,TB,BUF,0,SKATER,F,Power Play Points,power_play_points,0.5,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,NO_PP,ELITE,8,2.952,0.000,0.000,1.000,0.000,15.43,14.97,1.09000,0.5000
79,A,Evan Bouchard,EDM,VGK,0,SKATER,D,Time On Ice,time_on_ice,24.2,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.143,0.413,24.26,24.65,1.09000,0.5000
80,A,Connor McDavid,EDM,VGK,0,SKATER,F,Time On Ice,time_on_ice,22.2,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.683,0.683,21.02,23.10,1.09000,0.5000
81,A,Leon Draisaitl,EDM,VGK,0,SKATER,F,Faceoffs Won,faceoffs_won,10.0,UNDER,100.0%,100.0%,100.0%,100.0%,100.0%,5,10,20,30,,,,,,,,,,30,ELITE,PP1_STAR,AVERAGE,19,3.190,0.000,0.000,1.517,0.667,21.24,21.95,1.09000,0.5000
