assists_avg_L10,assists_avg_L20,assists_avg_L5,assists_avg_season,assists_games_played,blocked_shots_avg_L10,blocked_shots_avg_L20,blocked_shots_avg_L5,blocked_shots_avg_season,blocked_shots_games_played,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_L5,fantasy_score_avg_season,fantasy_score_games_played,games_fetched,goals_allowed_avg_L10,goals_allowed_avg_L20,goals_allowed_avg_L5,goals_allowed_avg_season,goals_allowed_games_played,goals_avg_L10,goals_avg_L20,goals_avg_L5,goals_avg_season,goals_games_played,hits_avg_L10,hits_avg_L20,hits_avg_L5,hits_avg_season,hits_games_played,last1_assists,last1_blocked_shots,last1_fantasy_score,last1_goals,last1_goals_allowed,last1_hits,last1_points,last1_save_pct,last1_saves,last1_shots_against,last1_shots_on_goal,last1_toi_min,last2_assists,last2_blocked_shots,last2_fantasy_score,last2_goals,last2_goals_allowed,last2_hits,last2_points,last2_save_pct,last2_saves,last2_shots_against,last2_shots_on_goal,last2_toi_min,last3_assists,last3_blocked_shots,last3_fantasy_score,last3_goals,last3_goals_allowed,last3_hits,last3_points,last3_save_pct,last3_saves,last3_shots_against,last3_shots_on_goal,last3_toi_min,nhl_player_id,player_role,points_avg_L10,points_avg_L20,points_avg_L5,points_avg_season,points_games_played,save_pct_avg_L10,save_pct_avg_L20,save_pct_avg_L5,save_pct_avg_season,save_pct_games_played,saves_avg_L10,saves_avg_L20,saves_avg_L5,saves_avg_season,saves_games_played,shots_against_avg_L10,shots_against_avg_L20,shots_against_avg_L5,shots_against_avg_season,shots_against_games_played,shots_on_goal_avg_L10,shots_on_goal_avg_L20,shots_on_goal_avg_L5,shots_on_goal_avg_season,shots_on_goal_games_played,toi_min_avg_L10,toi_min_avg_L20,toi_min_avg_L5,toi_min_avg_season,toi_min_games_played
0.3,0.25,0.4,0.233,30,0.0,0.0,0.0,0.0,30,3.0,2.9,3.5,3.3,30,30,,,,,,0.0,0.0,0.0,0.067,30,0.0,0.0,0.0,0.0,30,0,0,3.0,0,,0,0,,,,2,12.82,1,0,8.0,0,,0,1,,,,2,15.57,1,0,5.0,0,,0,1,,,,0,12.18,8478434,SKATER,0.3,0.25,0.4,0.3,30,,,,,,,,,,,,,,,,1.0,1.1,1.0,1.067,30,11.679,12.299,12.15,12.858,30
0.1,0.05,0.0,0.033,30,0.0,0.0,0.0,0.0,30,2.6,1.75,2.4,1.367,30,30,,,,,,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0,0,3.0,0,,0,0,,,,2,11.75,0,0,1.5,0,,0,0,,,,1,10.2,0,0,4.5,0,,0,0,,,,3,9.57,8479359,SKATER,0.1,0.05,0.0,0.033,30,,,,,,,,,,,,,,,,1.4,1.0,1.6,0.8,30,10.814,11.055,11.494,10.836,30
,,,,,,,,,,-6.3,-6.6,-3.6,-4.5,30,30,3.1,2.9,2.4,2.433,30,,,,,,,,,,,,,-3.0,,1,,,0.0,0,1,,,,,-21.0,,7,,,0.0,0,7,,,,,6.0,,0,,,0.0,0,0,,,8474593,GOALIE,,,,,,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,3.1,2.9,2.4,2.433,30,,,,,,,,,,
0.9,0.65,0.8,0.5,30,0.0,0.0,0.0,0.0,30,16.6,11.725,22.0,10.883,30,30,,,,,,0.8,0.45,1.2,0.467,30,0.0,0.0,0.0,0.0,30,2,0,30.0,1,,0,3,,,,8,21.9,1,0,31.5,2,,0,3,,,,7,20.98,0,0,11.0,1,,0,1,,,,2,15.92,8479314,SKATER,1.7,1.1,2.0,0.967,30,,,,,,,,,,,,,,,,3.8,3.25,5.6,3.1,30,18.987,18.814,18.12,18.421,30
0.3,0.45,0.4,0.367,30,0.0,0.0,0.0,0.0,30,8.1,9.625,5.6,10.067,30,30,,,,,,0.3,0.35,0.0,0.367,30,0.0,0.0,0.0,0.0,30,0,0,1.5,0,,0,0,,,,1,17.23,1,0,9.5,0,,0,1,,,,3,17.85,0,0,6.0,0,,0,0,,,,4,19.87,8477935,SKATER,0.6,0.8,0.4,0.733,30,,,,,,,,,,,,,,,,2.8,3.05,2.4,3.533,30,18.506,18.363,18.67,17.976,30
0.4,0.45,0.0,0.5,30,0.0,0.0,0.0,0.0,30,7.6,7.9,3.6,7.717,30,30,,,,,,0.1,0.2,0.0,0.133,30,0.0,0.0,0.0,0.0,30,0,0,6.0,0,,0,0,,,,4,23.7,0,0,0.0,0,,0,0,,,,0,5.25,0,0,6.0,0,,0,0,,,,4,23.78,8476462,SKATER,0.5,0.65,0.0,0.633,30,,,,,,,,,,,,,,,,3.2,2.7,2.4,2.767,30,19.525,19.497,18.57,19.28,30
0.2,0.35,0.2,0.367,30,0.0,0.0,0.0,0.0,30,5.45,7.75,7.5,7.617,30,30,,,,,,0.2,0.3,0.4,0.267,30,0.0,0.0,0.0,0.0,30,0,0,11.0,1,,0,1,,,,2,21.15,0,0,3.0,0,,0,0,,,,2,19.9,0,0,9.5,1,,0,1,,,,1,15.13,8473419,SKATER,0.4,0.65,0.6,0.633,30,,,,,,,,,,,,,,,,1.9,2.4,2.2,2.433,30,17.622,17.487,18.43,17.882,30
0.3,0.2,0.4,0.2,30,0.0,0.0,0.0,0.0,30,4.55,3.8,6.6,5.417,30,30,,,,,,0.1,0.05,0.2,0.133,30,0.0,0.0,0.0,0.0,30,0,0,3.0,0,,0,0,,,,2,16.95,1,0,6.5,0,,0,1,,,,1,17.4,1,0,11.0,0,,0,1,,,,4,19.95,8478542,SKATER,0.4,0.25,0.6,0.333,30,,,,,,,,,,,,,,,,1.5,1.6,2.0,2.233,30,15.252,15.091,17.036,15.031,30
0.4,0.25,0.6,0.3,30,0.0,0.0,0.0,0.0,30,8.3,7.125,12.3,8.55,30,30,,,,,,0.3,0.2,0.6,0.3,30,0.0,0.0,0.0,0.0,30,1,0,5.0,0,,0,1,,,,0,19.17,0,0,12.5,1,,0,1,,,,3,16.23,1,0,17.5,1,,0,2,,,,3,18.97,8477409,SKATER,0.7,0.45,1.2,0.6,30,,,,,,,,,,,,,,,,2.6,2.85,3.0,3.1,30,16.942,16.89,18.258,17.618,30
0.6,0.8,0.2,0.933,30,0.0,0.0,0.0,0.0,30,7.1,8.9,7.1,9.25,30,30,,,,,,0.1,0.2,0.2,0.167,30,0.0,0.0,0.0,0.0,30,0,0,4.5,0,,0,0,,,,3,21.68,0,0,4.5,0,,0,0,,,,3,19.72,0,0,7.5,0,,0,0,,,,5,22.18,8479407,SKATER,0.7,1.0,0.4,1.1,30,,,,,,,,,,,,,,,,2.2,2.2,3.0,2.167,30,19.778,19.578,19.878,19.1,30
