nba_player_id,team,player,espn_athlete_id,updated_at
1641716,IND,Jarace Walker,5106060,2026-03-08T15:14:59
1641739,POR,Toumani Camara,4431736,2026-03-08T15:14:59
1630581,CHI,Josh Giddey,4871145,2026-03-08T15:14:59
1641824,CHI,Matas Buzelis,4711294,2026-03-08T15:14:59
201566,SAC,Russell Westbrook,3468,2026-03-08T15:14:59
1642875,SAC,Maxime Raynaud,4898371,2026-03-08T15:14:59
1630173,SAC,Precious Achiuwa,4431679,2026-03-08T15:14:59
1642363,SAC,Nique Clifford,4702384,2026-03-08T15:14:59
1630200,CHI,Tre Jones,4395626,2026-03-08T15:14:59
201942,SAC,DeMar DeRozan,3978,2026-03-08T15:15:00
1630174,IND,Aaron Nesmith,4396909,2026-03-08T15:15:00
1629057,POR,Robert Williams,4066211,2026-03-08T15:15:00
204456,IND,T.J. McConnell,2530530,2026-03-08T15:15:01
1627824,CHI,Guerschon Yabusele,4017844,2026-03-08T15:15:04
1628370,SAC,Malik Monk,4066262,2026-03-08T15:15:04
1630171,CHI,Isaac Okoro,4432822,2026-03-08T15:15:04
1626164,PHX,Devin Booker,3136193,2026-03-08T15:15:08
1630163,CHA,LaMelo Ball,4432816,2026-03-08T15:15:08
1641706,CHA,Brandon Miller,4433287,2026-03-08T15:15:08
1630224,PHX,Jalen Green,4437244,2026-03-08T15:15:08
1642851,CHA,Kon Knueppel,5061575,2026-03-08T15:15:08
1628960,PHX,Grayson Allen,3135045,2026-03-08T15:15:08
1631221,PHX,Collin Gillespie,4278585,2026-03-08T15:15:08
1628970,CHA,Miles Bridges,4066383,2026-03-08T15:15:08
1642345,PHX,Oso Ighodaro,4601023,2026-03-08T15:15:08
1626220,PHX,Royce O'Neale,2583632,2026-03-08T15:15:08
1629632,CHA,Coby White,4395651,2026-03-08T15:15:08
1641750,CHA,Ryan Kalkbrenner,4576060,2026-03-08T15:15:09
1642346,PHX,Ryan Dunn,4888725,2026-03-08T15:15:10
1629029,NYK,Jalen Brunson,3934672,2026-03-08T15:15:12
1631217,PHX,Oso Ighodaro,4601023,2026-03-08T15:15:13
