proj_id,player_id,player,team,pp_team,pp_opp_team,pp_game_id,pos,stat_type,line,odds_type,start_time,league_id
10239288,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Pts+Rebs,17.0,standard,2026-03-02T19:00:00.000-05:00,20
10239315,221498,Isaiah Evans,DUKE,DUKE,NCST,132400,G-F,Pts+Asts,16.5,standard,2026-03-02T19:00:00.000-05:00,20
10238311,221498,Isaiah Evans,DUKE,DUKE,NCST,132400,G-F,Points,15.5,standard,2026-03-02T19:00:00.000-05:00,20
10239143,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Pts+Rebs+Asts,15.5,standard,2026-03-02T19:00:00.000-05:00,20
10239148,277930,Paul McNeil,NCST,NCST,DUKE,132400,G,Pts+Rebs+Asts,15.5,standard,2026-03-02T19:00:00.000-05:00,20
10239291,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Pts+Rebs,15.5,standard,2026-03-02T19:00:00.000-05:00,20
10239317,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Pts+Asts,15.5,standard,2026-03-02T19:00:00.000-05:00,20
10239290,277930,Paul McNeil,NCST,NCST,DUKE,132400,G,Pts+Rebs,14.5,standard,2026-03-02T19:00:00.000-05:00,20
10239320,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Pts+Asts,14.0,standard,2026-03-02T19:00:00.000-05:00,20
10239361,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Rebs+Asts,14.0,standard,2026-03-02T19:00:00.000-05:00,20
10238313,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Points,13.5,standard,2026-03-02T19:00:00.000-05:00,20
10238316,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Points,13.0,standard,2026-03-02T19:00:00.000-05:00,20
10238315,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Points,12.5,standard,2026-03-02T19:00:00.000-05:00,20
10239285,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Pts+Rebs,12.5,standard,2026-03-02T19:00:00.000-05:00,20
10239316,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Pts+Asts,12.5,standard,2026-03-02T19:00:00.000-05:00,20
10239318,277930,Paul McNeil,NCST,NCST,DUKE,132400,G,Pts+Asts,12.0,standard,2026-03-02T19:00:00.000-05:00,20
10238314,277930,Paul McNeil,NCST,NCST,DUKE,132400,G,Points,11.5,standard,2026-03-02T19:00:00.000-05:00,20
10239313,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Pts+Asts,11.5,standard,2026-03-02T19:00:00.000-05:00,20
10238312,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Points,10.5,standard,2026-03-02T19:00:00.000-05:00,20
10238910,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Rebounds,10.0,standard,2026-03-02T19:00:00.000-05:00,20
10239363,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Rebs+Asts,9.0,standard,2026-03-02T19:00:00.000-05:00,20
10239362,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Rebs+Asts,7.5,standard,2026-03-02T19:00:00.000-05:00,20
10239364,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Rebs+Asts,7.5,standard,2026-03-02T19:00:00.000-05:00,20
10239360,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Rebs+Asts,7.0,standard,2026-03-02T19:00:00.000-05:00,20
10238913,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Rebounds,6.5,standard,2026-03-02T19:00:00.000-05:00,20
10238911,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Rebounds,6.0,standard,2026-03-02T19:00:00.000-05:00,20
10239047,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Assists,6.0,standard,2026-03-02T19:00:00.000-05:00,20
10238909,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Rebounds,4.0,standard,2026-03-02T19:00:00.000-05:00,20
10238912,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Rebounds,4.0,standard,2026-03-02T19:00:00.000-05:00,20
10239046,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Assists,4.0,standard,2026-03-02T19:00:00.000-05:00,20
10239671,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Fantasy Score,48.0,demon,2026-03-02T19:05:00.000-05:00,20
10239677,274122,Cameron Boozer,DUKE,DUKE,NCST,132400,F,Fantasy Score,36.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239683,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Fantasy Score,32.0,demon,2026-03-02T19:05:00.000-05:00,20
10239686,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Fantasy Score,31.0,demon,2026-03-02T19:05:00.000-05:00,20
10239685,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Fantasy Score,30.0,demon,2026-03-02T19:05:00.000-05:00,20
10239668,221498,Isaiah Evans,DUKE,DUKE,NCST,132400,G-F,Fantasy Score,27.0,demon,2026-03-02T19:05:00.000-05:00,20
10239673,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Fantasy Score,27.0,demon,2026-03-02T19:05:00.000-05:00,20
10239680,277930,Paul McNeil,NCST,NCST,DUKE,132400,G,Fantasy Score,24.0,demon,2026-03-02T19:05:00.000-05:00,20
10239670,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Fantasy Score,23.0,demon,2026-03-02T19:05:00.000-05:00,20
10239692,277931,Quadir Copeland,NCST,NCST,DUKE,132400,G,Fantasy Score,22.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239695,276747,Ven-Allen Lubin,NCST,NCST,DUKE,132400,F,Fantasy Score,21.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239676,276746,Darrion Williams,NCST,NCST,DUKE,132400,F,Fantasy Score,20.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239675,221498,Isaiah Evans,DUKE,DUKE,NCST,132400,G-F,Fantasy Score,17.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239681,274124,Patrick Ngongba,DUKE,DUKE,NCST,132400,C,Fantasy Score,17.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239688,277930,Paul McNeil,NCST,NCST,DUKE,132400,G,Fantasy Score,14.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239678,218054,Caleb Foster,DUKE,DUKE,NCST,132400,G,Fantasy Score,13.0,goblin,2026-03-02T19:05:00.000-05:00,20
10239693,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Fantasy Score,35.0,standard,2026-03-02T21:00:00.000-05:00,20
10251627,221781,Joshua Jefferson,ISU,ISU,ARIZ,132695,F,Pts+Rebs+Asts,34.5,demon,2026-03-02T21:00:00.000-05:00,20
10239682,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Fantasy Score,30.0,standard,2026-03-02T21:00:00.000-05:00,20
10249912,274641,Brayden Burries,ARIZ,ARIZ,ISU,132695,G,Pts+Rebs,29.5,demon,2026-03-02T21:00:00.000-05:00,20
