player,team,prop_type,actual,PTS,REB,AST,BLK,STL,TO,FGM,FGA,3PM,3PA,3PT,FTM,FTA,2PM,2PA,OREB,DREB,PF,MIN
Mouhamed Dioubate,UK,Blocked Shots,0.0,7.0,7.0,2.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,6.0,5.0,21.0
Mouhamed Dioubate,UK,Blks+Stls,0.0,7.0,7.0,2.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,6.0,5.0,21.0
Jasper Johnson,UK,Defensive Rebounds,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Jasper Johnson,UK,Offensive Rebounds,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Jasper Johnson,UK,Free Throws Attempted,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Jasper Johnson,UK,Free Throws Made,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Jasper Johnson,UK,3-PT Attempted,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Jasper Johnson,UK,3-PT Made,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Jasper Johnson,UK,Turnovers,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Malachi Moreno,UK,Assists,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Patton Pinkins,MISS,Offensive Rebounds,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,27.0
Patton Pinkins,MISS,Two Pointers Made,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,27.0
Patton Pinkins,MISS,3-PT Made,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,27.0
Patton Pinkins,MISS,FG Made,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,27.0
Patton Pinkins,MISS,Turnovers,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,27.0
Patton Pinkins,MISS,Blocked Shots,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,27.0
Collin Chandler,UK,Steals,0.0,8.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,31.0
Collin Chandler,UK,Blocked Shots,0.0,8.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,31.0
Malachi Moreno,UK,Blks+Stls,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Collin Chandler,UK,Blks+Stls,0.0,8.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,31.0
Collin Chandler,UK,Personal Fouls,0.0,8.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,31.0
Collin Chandler,UK,Offensive Rebounds,0.0,8.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,31.0
Otega Oweh,UK,3-PT Made,0.0,23.0,8.0,3.0,0.0,1.0,1.0,8.0,19.0,0.0,3.0,0.0,7.0,10.0,8.0,16.0,2.0,6.0,3.0,39.0
Otega Oweh,UK,Blocked Shots,0.0,23.0,8.0,3.0,0.0,1.0,1.0,8.0,19.0,0.0,3.0,0.0,7.0,10.0,8.0,16.0,2.0,6.0,3.0,39.0
Denzel Aberdeen,UK,Blocked Shots,0.0,16.0,2.0,3.0,0.0,1.0,1.0,6.0,13.0,1.0,5.0,1.0,3.0,4.0,5.0,8.0,0.0,2.0,2.0,37.0
PJ Carter,LSU,Personal Fouls,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Travis Perry,MISS,FG Made,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,Blocked Shots,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,Assists,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,Points,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Andrija Jelavic,UK,Personal Fouls,0.0,7.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,14.0
Andrija Jelavic,UK,Free Throws Attempted,0.0,7.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,14.0
Andrija Jelavic,UK,Free Throws Made,0.0,7.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,14.0
Malachi Moreno,UK,Defensive Rebounds,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Malachi Moreno,UK,Two Pointers Made,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Malachi Moreno,UK,3-PT Attempted,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Malachi Moreno,UK,3-PT Made,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Malachi Moreno,UK,FG Made,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Malachi Moreno,UK,Turnovers,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Malachi Moreno,UK,Steals,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
Malachi Moreno,UK,Blocked Shots,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,12.0
PJ Carter,LSU,Turnovers,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Steals,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Blocked Shots,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Assists,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Rebounds,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Travis Perry,MISS,Pts+Asts,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,Offensive Rebounds,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,Free Throws Attempted,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,Free Throws Made,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,Two Pointers Made,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Travis Perry,MISS,3-PT Made,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,19.0
Andrija Jelavic,UK,Turnovers,0.0,7.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,14.0
Andrija Jelavic,UK,Steals,0.0,7.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,14.0
Andrija Jelavic,UK,Assists,0.0,7.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,14.0
PJ Carter,LSU,Blks+Stls,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Rebs+Asts,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Rashad King,LSU,Defensive Rebounds,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Offensive Rebounds,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Free Throws Attempted,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Rashad King,LSU,Free Throws Made,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,19.0
Corey Chest,MISS,Free Throws Attempted,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,13.0
Corey Chest,MISS,Free Throws Made,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,13.0
Corey Chest,MISS,3-PT Attempted,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,13.0
Corey Chest,MISS,3-PT Made,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,13.0
Corey Chest,MISS,Turnovers,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,13.0
Corey Chest,MISS,Steals,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,13.0
PJ Carter,LSU,Defensive Rebounds,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Offensive Rebounds,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Free Throws Attempted,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Free Throws Made,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Two Pointers Attempted,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
PJ Carter,LSU,Two Pointers Made,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
