player,team,prop_type,actual,league,SOT,SH,G,A,SV,PA,KP,TK
Ademola Lookman,ATM,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Ademola Lookman,ATM,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Giuliano Simeone,ATM,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Jonathan Tah,MUN,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Davinson Sánchez,GAL,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Julián Álvarez,ATM,Assists,1.0,uefa.champions,,2.0,2.0,1.0,,,,
Michael Olise,MUN,Assists,1.0,uefa.champions,,5.0,2.0,1.0,,,,
Davinson Sánchez,GAL,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Antoine Griezmann,ATM,Goals,1.0,uefa.champions,,3.0,1.0,1.0,,,,
Antoine Griezmann,ATM,Assists,1.0,uefa.champions,,3.0,1.0,1.0,,,,
Antoine Griezmann,ATM,Fouls,1.0,uefa.champions,,3.0,1.0,1.0,,,,
Pablo Barrios,ATM,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Davinson Sánchez,GAL,Yellow Cards,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Nicolás González,ATM,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Cristian Romero,TOT,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Ismail Jakobs,GAL,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Cristian Romero,TOT,Yellow Cards,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Micky van de Ven,TOT,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Ismail Jakobs,GAL,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Kevin Danso,TOT,Yellow Cards,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Wilfried Singo,GAL,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Nikola Krstovic,ATA,Fouls,1.0,uefa.champions,,3.0,0.0,0.0,,,,
Archie Gray,TOT,Shots,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Wilfried Singo,GAL,Fouls,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Archie Gray,TOT,Yellow Cards,1.0,uefa.champions,,1.0,0.0,0.0,,,,
Djed Spence,TOT,Fouls,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Djed Spence,TOT,Yellow Cards,1.0,uefa.champions,,0.0,0.0,0.0,,,,
Pedro Porro,TOT,Shots,1.0,uefa.champions,,1.0,1.0,1.0,,,,
Pedro Porro,TOT,Goals,1.0,uefa.champions,,1.0,1.0,1.0,,,,
Pedro Porro,TOT,Assists,1.0,uefa.champions,,1.0,1.0,1.0,,,,
Dayot Upamecano,MUN,Assists,1.0,uefa.champions,,2.0,0.0,1.0,,,,
