nba_player_id,player,team,opp_team,line,actual,prop_type_norm,pick_type,bet_direction,tier,abs_edge,abs_edge_bucket,minutes_proj,minutes_bucket,actual_minutes,OVERALL_DEF_RANK,_opp_def_bucket,pick_minutes_bucket,dir_minutes_bucket,min_def_bucket,allowed_dir,dir_ok,platform_ok,result,void_reason,result_sign,pos,prop_type,prop_norm,stat_prefix,pick_type_key,forced_over_only,eligible,is_combo,min_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,DEF_TIER,projection,edge,edge_dr,confidence,prop_weight,reliability_mult,dir_mult,rank_score,min_last10_avg,min_last5_avg,min_season_avg_s4
1630163,LaMelo Ball,CHA,DET,2.5,0.0,fta,Standard,UNDER,D,,NA,27.512,24-27.99,29.483333333333334,3,1-10 Strong,Standard | 24-27.99,UNDER | 24-27.99,24-27.99 | 1-10 Strong,,0,0,HIT,,1,G,Free Throws Attempted,freethrowsattempted,,standard,False,False,False,27.512,0,0,0,0.0,Elite,,,0.0,0.0,1.0,1.0,1.25,-9999.0,,,
1630611,Gui Santos,GSW,MEM,0.5,0.0,blocks,Demon,OVER,D,,NA,13.952,<24,29.833333333333332,17,11-20 Average,Demon | <24,OVER | <24,<24 | 11-20 Average,,0,0,MISS,,-1,F,Blocked Shots,blockedshots,,demon,True,False,False,13.952,0,0,0,0.0,Avg,,,0.0,0.0,1.0,0.4,0.85,-9999.0,,,
1631217,Moussa Diabaté,CHA,DET,1.5,0.0,blocks,Demon,OVER,D,,NA,25.265,24-27.99,18.7,3,1-10 Strong,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 1-10 Strong,,0,0,MISS,,-1,F,Blocked Shots,blockedshots,,demon,True,False,False,25.265,0,0,0,0.0,Elite,,,0.0,0.0,1.0,0.4,0.85,-9999.0,,,
1628970,Miles Bridges,CHA,DET,1.5,0.0,stocks,Demon,OVER,D,,NA,29.8,28-31.99,19.883333333333333,3,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,0,0,MISS,,-1,F,Blks+Stls,blks+stls,,demon,True,False,False,32.404,0,0,0,0.0,Elite,,,0.0,0.0,1.0,0.4,0.85,-9999.0,29.8,33.2,32.40384615384615
1630163,LaMelo Ball,CHA,DET,1.5,0.0,steals,Demon,OVER,D,0.477,0-0.99,27.8,24-27.99,29.483333333333334,3,1-10 Strong,Demon | 24-27.99,OVER | 24-27.99,24-27.99 | 1-10 Strong,,0,0,MISS,,-1,G,Steals,steals,stl,demon,True,False,False,27.512,2,3,0,0.4,Elite,1.023,-0.477,0.574,0.0,1.0,0.4,0.85,-9999.0,27.8,30.6,27.511627906976745
1642851,Kon Knueppel,CHA,DET,1.5,1.0,stocks,Demon,OVER,D,,NA,31.2,28-31.99,34.166666666666664,3,1-10 Strong,Demon | 28-31.99,OVER | 28-31.99,28-31.99 | 1-10 Strong,,0,0,MISS,,-1,G-F,Blks+Stls,blks+stls,,demon,True,False,False,32.058,0,0,0,0.0,Elite,,,0.0,0.0,1.0,0.4,0.85,-9999.0,31.2,35.0,32.05769230769231
1630191,Isaiah Stewart,DET,CHA,1.5,0.0,stocks,Goblin,OVER,D,,NA,23.5,<24,11.133333333333333,14,11-20 Average,Goblin | <24,OVER | <24,<24 | 11-20 Average,,0,0,MISS,,-1,F-C,Blks+Stls,blks+stls,,goblin,True,False,False,23.447,0,0,0,0.0,Avg,,,0.0,0.0,1.0,0.6,0.85,-9999.0,23.5,23.6,23.4468085106383
1630191,Isaiah Stewart,DET,CHA,1.5,0.0,fg3m,Demon,OVER,D,1.064,1-1.99,23.5,<24,11.133333333333333,14,11-20 Average,Demon | <24,OVER | <24,<24 | 11-20 Average,,0,0,MISS,,-1,F-C,3-PT Made,3ptmade,fg3m,demon,True,False,False,23.447,0,5,0,0.0,Avg,0.436,-1.064,1.048,0.0,1.03,0.4,0.85,-9999.0,23.5,23.6,23.4468085106383
1629684,Grant Williams,CHA,DET,1.5,2.0,fg3m,Demon,OVER,D,0.57,0-0.99,18.2,<24,25.283333333333335,3,1-10 Strong,Demon | <24,OVER | <24,<24 | 1-10 Strong,,0,0,HIT,,1,F,3-PT Made,3ptmade,fg3m,demon,True,False,False,17.417,2,3,0,0.4,Elite,0.93,-0.57,0.656,0.0,1.03,0.4,0.85,-9999.0,18.2,18.0,17.416666666666668
1627747,Caris LeVert,DET,CHA,1.5,3.0,stocks,Demon,OVER,D,,NA,17.5,<24,22.683333333333334,14,11-20 Average,Demon | <24,OVER | <24,<24 | 11-20 Average,,0,0,HIT,,1,G,Blks+Stls,blks+stls,,demon,True,False,False,19.559,0,0,0,0.0,Avg,,,0.0,0.0,1.0,0.4,0.85,-9999.0,17.5,18.2,19.558823529411764
1627747,Caris LeVert,DET,CHA,1.5,0.0,fg3m,Demon,OVER,D,0.734,0-0.99,17.5,<24,22.683333333333334,14,11-20 Average,Demon | <24,OVER | <24,<24 | 11-20 Average,,0,0,MISS,,-1,G,3-PT Made,3ptmade,fg3m,demon,True,False,False,19.559,1,4,0,0.2,Avg,0.766,-0.734,0.793,0.0,1.03,0.4,0.85,-9999.0,17.5,18.2,19.558823529411764
