espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,shots_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,shots_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
265944,Aboubacar Bah,Midfielder,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279102,10279102,262339,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/manual/Aboubacar_Bah.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,OK,,,OK,4.0,0.0,4.0,0.0,0.0,1.0
,Amir Sayoud,Midfielder,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279103,10279103,258121,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/manual/Amir_Sayoud.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Dimitrios Kourbelis,Midfielder,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279104,10279104,216397,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Elias Mokwana,Attacker,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279105,10279105,262340,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/manual/Elias_Mokwana.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Giorgos Masouras,Attacker,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279106,10279106,257268,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/placeholder.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Hussain Eissa,Attacker,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279107,10279107,298590,132888,2026-03-06T14:00:00.000-05:00,,,,1,,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Konstantinos Fortounis,Midfielder,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279109,10279109,216396,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/players/soccer/e12pgb09zlyl7fc1zkkpo4yqd.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Majed Kanabah,Midfielder,KHALEEJ,HAZEM,SOCCER,0.5,Goals,goals,Demon,10279110,10279110,258622,132888,2026-03-06T14:00:00.000-05:00,,,,1,,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Mohammed Saedi,Midfielder,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279111,10279111,262653,132888,2026-03-06T14:00:00.000-05:00,,,,1,,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
,Omar Somah,Attacker,HAZEM,KHALEEJ,SOCCER,0.5,Goals,goals,Demon,10279112,10279112,288372,132888,2026-03-06T14:00:00.000-05:00,,,,1,https://static.prizepicks.com/images/manual/IMG_6024.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ESPN_PLAYER,,,MISSING_STAT_VALUES,,,,,,
