player,team,prop_type,actual,league,SOT,SH,G,A,SV,PA,KP,TK
Nikola Stulic,LEC,Shots,2.0,ita.1,,2.0,1.0,0.0,,,,
Alexis Sánchez,SEV,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Eray Cömert,VAL,Shots,2.0,esp.1,,2.0,1.0,0.0,,,,
James Sands,STP,Fouls,2.0,ger.1,,0.0,0.0,0.0,,,,
Morten Thorsby,CRE,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
André Silva,ELC,Shots,2.0,esp.1,,2.0,1.0,0.0,,,,
Mauro Arambarri,GET,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Alessandro Circati,PAR,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Jari Vandeputte,CRE,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Nikola Vasiljev,STP,Goalkeeper Saves,2.0,ger.1,,0.0,0.0,0.0,2.0,,,
Nicolò Fagioli,FIO,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Leopold Querfeld,FCU,Shots,2.0,ger.1,,2.0,0.0,0.0,,,,
Benjamin Cremaschi,PAR,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Oumar Ngom,LEC,Fouls,2.0,ita.1,,0.0,0.0,0.0,,,,
Ángel Pérez,ALA,Fouls,2.0,esp.1,,1.0,0.0,0.0,,,,
Robin Gosens,FIO,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Jeff Ekhator,GEN,Fouls,2.0,ita.1,,0.0,0.0,0.0,,,,
Caleb Ekuban,GEN,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Caleb Ekuban,GEN,Fouls,2.0,ita.1,,2.0,0.0,0.0,,,,
Lucas Boyé,ALA,Goals,2.0,esp.1,,6.0,2.0,0.0,,,,
Lorenzo Colombo,GEN,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Álvaro García,RAY,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Zeki Çelik,ROMA,Fouls,2.0,ita.1,,0.0,0.0,0.0,,,,
Gianluca Mancini,ROMA,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Niccolò Pisilli,ROMA,Fouls,2.0,ita.1,,0.0,0.0,0.0,,,,
Donyell Malen,ROMA,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Lorenzo Pellegrini,ROMA,Fouls,2.0,ita.1,,0.0,0.0,0.0,,,,
Bryan Cristante,ROMA,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Romano Schmid,SVW,Shots,2.0,ger.1,,2.0,0.0,1.0,,,,
Mike Maignan,MIL,Goalkeeper Saves,2.0,ita.1,,0.0,0.0,0.0,2.0,,,
Fikayo Tomori,MIL,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Youssouf Fofana,MIL,Shots,2.0,ita.1,,2.0,0.0,1.0,,,,
Pervis Estupiñán,MIL,Fouls,2.0,ita.1,,1.0,1.0,0.0,,,,
Rafael Leão,MIL,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Danel Sinani,STP,Fouls,2.0,ger.1,,3.0,0.0,0.0,,,,
Piotr Zielinski,INT,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Álvaro García,RAY,Fouls,2.0,esp.1,,2.0,0.0,0.0,,,,
Federico Dimarco,INT,Fouls,2.0,ita.1,,3.0,0.0,0.0,,,,
Pio Esposito,INT,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Ange-Yoan Bonny,INT,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Ange-Yoan Bonny,INT,Fouls,2.0,ita.1,,2.0,0.0,0.0,,,,
Malang Sarr,RCL,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Nemanja Gudelj,SEV,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Adrien Thomasson,RCL,Shots,2.0,fra.1,,2.0,0.0,1.0,,,,
Mamadou Sangare,RCL,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Mamadou Sangare,RCL,Fouls,2.0,fra.1,,2.0,0.0,0.0,,,,
Antonio Blanco,ALA,Fouls,2.0,esp.1,,0.0,0.0,0.0,,,,
Saud Abdulhamid,RCL,Shots,2.0,fra.1,,2.0,1.0,0.0,,,,
Odsonne Édouard,RCL,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Luca Ranieri,FIO,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Florian Sotoca,RCL,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Lukasz Skorupski,BOL,Goalkeeper Saves,2.0,ita.1,,0.0,0.0,0.0,2.0,,,
Mathias Pereira Lage,STP,Fouls,2.0,ger.1,,3.0,0.0,0.0,,,,
Jean-Philippe Gbamin,METZ,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Alpha Touré,METZ,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Santi Comesaña,VIL,Fouls,2.0,esp.1,,0.0,0.0,1.0,,,,
Habib Diallo,METZ,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Tanguy Nianzou,SEV,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Jessy Deminguet,METZ,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Bradley Locko,BRE,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Alberto Moleiro,VIL,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Romano Schmid,SVW,Fouls,2.0,ger.1,,2.0,0.0,1.0,,,,
Benjamín Domínguez,BOL,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Junior Dina Ebimbe,BRE,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Romain Del Castillo,BRE,Shots,2.0,fra.1,,2.0,1.0,0.0,,,,
Lucas Tousart,BRE,Fouls,2.0,fra.1,,1.0,0.0,0.0,,,,
Alberto Moleiro,VIL,Fouls,2.0,esp.1,,2.0,0.0,0.0,,,,
Jon Pacheco,ALA,Fouls,2.0,esp.1,,0.0,0.0,0.0,,,,
Sofiane Boufal,HAC,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Georges Mikautadze,VIL,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Issa Soumaré,HAC,Fouls,2.0,fra.1,,3.0,0.0,0.0,,,,
Domingos Duarte,GET,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Rafa Mir,ELC,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Marc Bartra,BET,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Michael Zetterer,SGE,Goalkeeper Saves,2.0,ger.1,,0.0,0.0,0.0,2.0,,,
Chimy Ávila,BET,Fouls,2.0,esp.1,,1.0,0.0,0.0,,,,
Pierre Lees-Melou,PAR,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Farès Chaïbi,SGE,Shots,2.0,ger.1,,2.0,0.0,0.0,,,,
Ayyoub Bouaddi,LILL,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Rani Khedira,FCU,Shots,2.0,ger.1,,2.0,0.0,0.0,,,,
Zaid Romero,GET,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Abdoulaye Faye,LOR,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Javi Guerra,VAL,Shots,2.0,esp.1,,2.0,1.0,0.0,,,,
Marco Grüll,SVW,Shots,2.0,ger.1,,2.0,1.0,0.0,,,,
Noah Cadiou,LOR,Fouls,2.0,fra.1,,3.0,0.0,0.0,,,,
Arthur Avom,LOR,Shots,2.0,fra.1,,2.0,1.0,0.0,,,,
Tosin Aiyegun,LOR,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Daniel Semedo,LOR,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Yehvann Diouf,NICE,Goalkeeper Saves,2.0,fra.1,,0.0,0.0,0.0,2.0,,,
Melvin Bard,NICE,Fouls,2.0,fra.1,,1.0,0.0,0.0,,,,
Morgan Sanson,NICE,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Dante,NICE,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Jonathan Burkardt,SGE,Shots,2.0,ger.1,,2.0,0.0,0.0,,,,
Milan Djuric,CRE,Fouls,2.0,ita.1,,1.0,0.0,1.0,,,,
Valentin Rongier,REN,Assists,2.0,fra.1,,1.0,0.0,2.0,,,,
Mahdi Camara,REN,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Esteban Lepaul,REN,Shots,2.0,fra.1,,2.0,1.0,0.0,,,,
Arnaud Nordin,REN,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Florian Lejeune,RAY,Fouls,2.0,esp.1,,0.0,0.0,0.0,,,,
Umar Sadiq,VAL,Shots,2.0,esp.1,,2.0,0.0,1.0,,,,
Nicolás Tagliafico,LYON,Fouls,2.0,fra.1,,0.0,0.0,0.0,,,,
Rolando Mandragora,FIO,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Jackson Irvine,STP,Shots,2.0,ger.1,,2.0,0.0,0.0,,,,
Junior Firpo,BET,Fouls,2.0,esp.1,,0.0,0.0,0.0,,,,
Pierre Lees-Melou,PAR,Fouls,2.0,fra.1,,2.0,0.0,0.0,,,,
Rudy Matondo,PAR,Fouls,2.0,fra.1,,1.0,0.0,0.0,,,,
Lucien Agoumé,SEV,Fouls,2.0,esp.1,,0.0,0.0,0.0,,,,
Marshall Munetsi,PAR,Fouls,2.0,fra.1,,4.0,1.0,0.0,,,,
Jonathan Ikoné,PAR,Shots,2.0,fra.1,,2.0,0.0,0.0,,,,
Justin Che,RBNY,Fouls,2.0,usa.1,,0.0,0.0,0.0,,,,
Emil Forsberg,RBNY,Fouls,2.0,usa.1,,1.0,0.0,0.0,,,,
Rafael Mosquera,RBNY,Shots,2.0,usa.1,,2.0,0.0,0.0,,,,
Jean-Daniel Akpa Akpro,VER,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Jens Odgaard,BOL,Shots,2.0,ita.1,,2.0,0.0,0.0,,,,
Sergi Cardona,VIL,Fouls,2.0,esp.1,,0.0,0.0,0.0,,,,
Jon Rowe,BOL,Shots,2.0,ita.1,,2.0,1.0,0.0,,,,
Wikelman Carmona,MTL,Goals,2.0,usa.1,,4.0,2.0,0.0,,,,
Iván Jaime,MTL,Shots,2.0,usa.1,,2.0,0.0,0.0,,,,
Dagur Thórhallsson,MTL,Shots,2.0,usa.1,,2.0,0.0,0.0,,,,
Dagur Thórhallsson,MTL,Fouls,2.0,usa.1,,2.0,0.0,0.0,,,,
Noah Streit,MTL,Fouls,2.0,usa.1,,1.0,0.0,0.0,,,,
Allan Nyom,GET,Fouls,2.0,esp.1,,0.0,0.0,0.0,,,,
Gerardo Valenzuela,CIN,Shots,2.0,usa.1,,2.0,0.0,0.0,,,,
Gerardo Valenzuela,CIN,Fouls,2.0,usa.1,,2.0,0.0,0.0,,,,
Pavel Bucha,CIN,Shots,2.0,usa.1,,2.0,0.0,0.0,,,,
Obinna Nwobodo,CIN,Fouls,2.0,usa.1,,1.0,0.0,0.0,,,,
Fran Pérez,RAY,Shots,2.0,esp.1,,2.0,0.0,1.0,,,,
Kévin Denkey,CIN,Fouls,2.0,usa.1,,0.0,0.0,0.0,,,,
Tom Barlow,CIN,Shots,2.0,usa.1,,2.0,0.0,0.0,,,,
Luka Gavran,TOR,Goalkeeper Saves,2.0,usa.1,,0.0,0.0,0.0,2.0,,,
Martín Payero,CRE,Fouls,2.0,ita.1,,1.0,0.0,0.0,,,,
Rodrigo Riquelme,BET,Shots,2.0,esp.1,,2.0,0.0,0.0,,,,
Emilio Aristizábal,TOR,Shots,2.0,usa.1,,2.0,0.0,0.0,,,,
Dániel Sallói,TOR,Shots,2.0,usa.1,,2.0,1.0,0.0,,,,
Arkadiusz Pyrka,STP,Shots,1.0,ger.1,,1.0,0.0,0.0,,,,
André Silva,ELC,Goals,1.0,esp.1,,2.0,1.0,0.0,,,,
André Silva,ELC,Fouls,1.0,esp.1,,2.0,1.0,0.0,,,,
André Silva,ELC,Yellow Cards,1.0,esp.1,,2.0,1.0,0.0,,,,
Akor Adams,SEV,Goals,1.0,esp.1,,4.0,1.0,0.0,,,,
Jens Stage,SVW,Assists,1.0,ger.1,,3.0,1.0,1.0,,,,
Akor Adams,SEV,Fouls,1.0,esp.1,,4.0,1.0,0.0,,,,
Jens Stage,SVW,Fouls,1.0,ger.1,,3.0,1.0,1.0,,,,
Arkadiusz Pyrka,STP,Fouls,1.0,ger.1,,1.0,0.0,0.0,,,,
Walid Cheddira,LEC,Shots,1.0,ita.1,,1.0,0.0,0.0,,,,
Keke Topp,SVW,Shots,1.0,ger.1,,1.0,0.0,0.0,,,,
Martin Frese,VER,Shots,1.0,ita.1,,1.0,1.0,0.0,,,,
Keke Topp,SVW,Yellow Cards,1.0,ger.1,,1.0,0.0,0.0,,,,
Frederik Ronnow,FCU,Goalkeeper Saves,1.0,ger.1,,0.0,0.0,0.0,1.0,,,
Chidera Ejuke,SEV,Fouls,1.0,esp.1,,0.0,0.0,0.0,,,,
Batista Mendy,SEV,Fouls,1.0,esp.1,,0.0,0.0,0.0,,,,
Romano Schmid,SVW,Assists,1.0,ger.1,,2.0,0.0,1.0,,,,
Joel Chima Fujita,STP,Shots,1.0,ger.1,,1.0,0.0,0.0,,,,
Leopold Querfeld,FCU,Yellow Cards,1.0,ger.1,,2.0,0.0,0.0,,,,
Joel Chima Fujita,STP,Fouls,1.0,ger.1,,1.0,0.0,0.0,,,,
Matteo Bianchetti,CRE,Yellow Cards,1.0,ita.1,,0.0,0.0,0.0,,,,
Domingos Duarte,GET,Fouls,1.0,esp.1,,2.0,0.0,0.0,,,,
Domingos Duarte,GET,Yellow Cards,1.0,esp.1,,2.0,0.0,0.0,,,,
Marco Grüll,SVW,Goals,1.0,ger.1,,2.0,1.0,0.0,,,,
Youssef Maleh,CRE,Shots,1.0,ita.1,,1.0,0.0,0.0,,,,
Marco Grüll,SVW,Fouls,1.0,ger.1,,2.0,1.0,0.0,,,,
Martin Frese,VER,Goals,1.0,ita.1,,1.0,1.0,0.0,,,,
Abdel Abqar,GET,Assists,1.0,esp.1,,0.0,0.0,1.0,,,,
Abdel Abqar,GET,Yellow Cards,1.0,esp.1,,0.0,0.0,1.0,,,,
Jon Rowe,BOL,Goals,1.0,ita.1,,2.0,1.0,0.0,,,,
Juan Iglesias,GET,Fouls,1.0,esp.1,,0.0,0.0,0.0,,,,
Morten Thorsby,CRE,Shots,1.0,ita.1,,1.0,0.0,0.0,,,,
Marin Pongracic,FIO,Fouls,1.0,ita.1,,0.0,0.0,0.0,,,,
Djené,GET,Fouls,1.0,esp.1,,0.0,0.0,0.0,,,,
Jon Rowe,BOL,Fouls,1.0,ita.1,,2.0,1.0,0.0,,,,
Jari Vandeputte,CRE,Shots,1.0,ita.1,,1.0,0.0,0.0,,,,
András Schäfer,FCU,Fouls,1.0,ger.1,,0.0,0.0,0.0,,,,
Hugo Duro,VAL,Shots,1.0,esp.1,,1.0,1.0,0.0,,,,
Luis Milla,GET,Fouls,1.0,esp.1,,0.0,0.0,0.0,,,,
Hugo Duro,VAL,Goals,1.0,esp.1,,1.0,1.0,0.0,,,,
Martín Satriano,GET,Shots,1.0,esp.1,,1.0,1.0,0.0,,,,
Martín Satriano,GET,Goals,1.0,esp.1,,1.0,1.0,0.0,,,,
Dodô,FIO,Yellow Cards,1.0,ita.1,,0.0,0.0,0.0,,,,
Hugo Duro,VAL,Fouls,1.0,esp.1,,1.0,1.0,0.0,,,,
Kiko Femenía,GET,Shots,1.0,esp.1,,1.0,1.0,0.0,,,,
Kiko Femenía,GET,Goals,1.0,esp.1,,1.0,1.0,0.0,,,,
Lars Ritzka,STP,Fouls,1.0,ger.1,,0.0,0.0,0.0,,,,
Kiko Femenía,GET,Fouls,1.0,esp.1,,1.0,1.0,0.0,,,,
Kiko Femenía,GET,Yellow Cards,1.0,esp.1,,1.0,1.0,0.0,,,,
Luis Vázquez,GET,Shots,1.0,esp.1,,1.0,0.0,0.0,,,,
Victor Nelsson,VER,Shots,1.0,ita.1,,1.0,0.0,0.0,,,,
Luis Vázquez,GET,Fouls,1.0,esp.1,,1.0,0.0,0.0,,,,
Rani Khedira,FCU,Fouls,1.0,ger.1,,2.0,0.0,0.0,,,,
Kieron Bowie,VER,Goals,1.0,ita.1,,4.0,1.0,0.0,,,,
Mario Martín,GET,Fouls,1.0,esp.1,,0.0,0.0,0.0,,,,
Derrick Köhn,FCU,Goals,1.0,ger.1,,3.0,1.0,0.0,,,,
Patrice Covic,SVW,Shots,1.0,ger.1,,1.0,1.0,0.0,,,,
Patrice Covic,SVW,Goals,1.0,ger.1,,1.0,1.0,0.0,,,,
Tommaso Barbieri,CRE,Shots,1.0,ita.1,,1.0,0.0,0.0,,,,
Augusto Batalla,RAY,Goalkeeper Saves,1.0,esp.1,,0.0,0.0,0.0,1.0,,,
Nobel Mendy,RAY,Shots,1.0,esp.1,,1.0,0.0,0.0,,,,
Federico Bonazzoli,CRE,Goals,1.0,ita.1,,3.0,1.0,0.0,,,,
Milan Djuric,CRE,Shots,1.0,ita.1,,1.0,0.0,1.0,,,,
Connor Metcalfe,STP,Fouls,1.0,ger.1,,0.0,0.0,0.0,,,,
Connor Metcalfe,STP,Yellow Cards,1.0,ger.1,,0.0,0.0,0.0,,,,
Federico Bonazzoli,CRE,Fouls,1.0,ita.1,,3.0,1.0,0.0,,,,
Julian Malatini,SVW,Fouls,1.0,ger.1,,0.0,0.0,0.0,,,,
Florian Lejeune,RAY,Yellow Cards,1.0,esp.1,,0.0,0.0,0.0,,,,
