Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,D,0.13,Tobe Awaka,ARIZ,ISU,Rebounds,Demon,8.5,OVER,0.3872,8.8872,0.45,8.6,9.136,2,3,,03/02 09:00PM,reb,
CBB,D,0.12,Isaiah Evans,DUKE,NCST,Points,Standard,15.5,OVER,0.2251999999999992,15.7252,0.5,16.2,15.476,3,2,Avg,03/02 07:00PM,pts,
CBB,D,0.12,Alfred Worrell,MORG,NORF,Rebounds,Standard,4.5,OVER,0.04999999999999982,4.55,0.65,5,3.95,4,1,,03/02 06:00PM,reb,
CBB,D,0.12,Patrick Ngongba,DUKE,NCST,Rebs+Asts,Standard,7.5,OVER,0.1200000000000001,7.62,0.6,7.4,7.75,3,2,Avg,03/02 07:00PM,ra,
CBB,D,0.12,Jaden Bradley,ARIZ,ISU,Rebs+Asts,Standard,8.5,UNDER,-0.1628000000000007,8.3372,0.6,8.6,8.636,2,3,,03/02 09:00PM,ra,
CBB,D,0.12,Blake Buchanan,ISU,ARIZ,Points,Demon,7.5,OVER,0.7571999999999992,8.2572,0.65,9,8.136,4,1,Elite,03/02 09:00PM,pts,
CBB,D,0.11,Quadir Copeland,NCST,DUKE,Assists,Standard,6,OVER,0.8900000000000006,6.890000000000001,0.55,5.8,7.5,2,3,Elite,03/02 07:00PM,ast,
CBB,D,0.09,Isaiah Evans,DUKE,NCST,Pts+Rebs+Asts,Standard,19.5,UNDER,-0.2213999999999992,19.2786,0.5,19.8,19.143,3,2,Avg,03/02 07:00PM,pra,
CBB,D,0.08,Cameron Boozer,DUKE,NCST,Fantasy Score,Standard,42.5,UNDER,-0.1204000000000036,42.3796,0.6499999999999999,42.58,43.933,2,3,Avg,03/02 07:00PM,fantasy score,
CBB,D,0.08,Tamin Lipsey,ISU,ARIZ,Assists,Standard,4,OVER,0.4290000000000003,4.429,0.607,4,5.095,1,1,Elite,03/02 09:00PM,ast,
CBB,D,0.08,Koa Peat,ARIZ,ISU,Points,Standard,11.5,UNDER,-0.09999999999999964,11.4,0.55,10.4,13,2,3,,03/02 09:00PM,pts,
CBB,D,0.07,Motiejus Krivas,ARIZ,ISU,Blocked Shots,Standard,1.5,OVER,0.1028,1.6028,0.5,1.2,1.864,2,3,,03/02 09:00PM,blk,
