nba_player_id,team,player,espn_athlete_id,updated_at
1642263,HOU,Reed Sheppard,4711272,2026-02-23T15:28:49
1631106,HOU,Tari Eason,4433192,2026-02-23T15:28:49
1642271,UTA,Kyle Filipowski,4684793,2026-02-23T15:28:49
1641718,UTA,Keyonte George,4433627,2026-02-23T15:28:49
1642268,UTA,Isaiah Collier,4683766,2026-02-23T15:28:49
1641729,UTA,Brice Sensabaugh,5105839,2026-02-23T15:28:49
1642846,UTA,Ace Bailey,4873138,2026-02-23T15:28:49
1642262,UTA,Cody Williams,4895758,2026-02-23T15:28:49
203991,HOU,Clint Capela,3102529,2026-02-23T15:28:50
1627827,HOU,Dorian Finney-Smith,2578185,2026-02-23T15:28:50
1628973,NYK,Jalen Brunson,3934672,2026-02-23T15:28:52
1626157,NYK,Karl-Anthony Towns,3136195,2026-02-23T15:28:52
1628378,CLE,Donovan Mitchell,3908809,2026-02-23T15:28:52
201935,CLE,James Harden,3992,2026-02-23T15:28:52
1628384,NYK,OG Anunoby,3934719,2026-02-23T15:28:52
1628969,NYK,Mikal Bridges,3147657,2026-02-23T15:28:52
1628404,NYK,Josh Hart,3062679,2026-02-23T15:28:52
1630596,CLE,Evan Mobley,4432158,2026-02-23T15:28:52
1628386,CLE,Jarrett Allen,4066328,2026-02-23T15:28:52
1642281,CLE,Jaylon Tyson,4683747,2026-02-23T15:28:52
1627759,BOS,Jaylen Brown,3917376,2026-02-23T15:28:53
1631221,PHX,Collin Gillespie,4278585,2026-02-23T15:28:53
1630224,PHX,Jalen Green,4437244,2026-02-23T15:28:53
1630202,BOS,Payton Pritchard,4066354,2026-02-23T15:28:53
1628401,BOS,Derrick White,3078576,2026-02-23T15:28:53
1631109,PHX,Mark Williams,4701232,2026-02-23T15:28:53
1631094,ORL,Paolo Banchero,4432573,2026-02-23T15:28:54
1630559,LAL,Austin Reaves,4066457,2026-02-23T15:28:54
1630217,ORL,Desmond Bane,4066320,2026-02-23T15:28:54
2544,LAL,LeBron James,1966,2026-02-23T15:28:54
1641710,ORL,Anthony Black,4712849,2026-02-23T15:28:54
1628976,ORL,Wendell Carter,4277847,2026-02-23T15:28:54
1641765,MEM,Olivier-Maxence Prosper,4595400,2026-02-23T15:58:37
1630590,MEM,Scotty Pippen,4431785,2026-02-23T15:58:38
1631096,OKC,Chet Holmgren,4433255,2026-02-23T15:58:44
1630198,OKC,Isaiah Joe,4395702,2026-02-23T15:58:44
1641717,OKC,Cason Wallace,4683692,2026-02-23T15:58:44
1630552,ATL,Jalen Johnson,4701230,2026-02-23T15:58:44
203468,ATL,CJ McCollum,2490149,2026-02-23T15:58:44
1629638,ATL,Nickeil Alexander-Walker,4278039,2026-02-23T15:58:44
1630168,ATL,Onyeka Okongwu,4431680,2026-02-23T15:58:44
1630700,ATL,Dyson Daniels,4869342,2026-02-23T15:58:44
1641774,WAS,Tristan Vukcevic,4997537,2026-02-23T15:58:44
1641731,WAS,Bilal Coulibaly,5104155,2026-02-23T15:58:44
1642267,WAS,Bub Carrington,4845374,2026-02-23T15:58:44
1642273,WAS,Kyshawn George,5174563,2026-02-23T15:58:44
1642848,WAS,Tre Johnson,5238230,2026-02-23T15:58:44
