SEASON,EVENT_ID,GAME_DATE,TEAM,ESPN_ATHLETE_ID,PLAYER,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA,PLAYER_NORM
2025-26,401838141,2026-02-15,STARS,3136193,Devin Booker,9,2,5,2,0,0,1,1.0,3.0,0.0,0.0,0.0,0.0,
2025-26,401838141,2026-02-15,STARS,4431678,Tyrese Maxey,8,2,0,0,0,0,1,1.0,2.0,0.0,1.0,0.0,0.0,
2025-26,401838141,2026-02-15,STARS,4432166,Cade Cunningham,9,11,3,4,0,1,3,4.0,6.0,1.0,2.0,2.0,2.0,
2025-26,401838141,2026-02-15,STARS,4594268,Anthony Edwards,9,11,3,1,1,0,1,5.0,8.0,1.0,4.0,0.0,0.0,
2025-26,401838141,2026-02-15,STARS,4433134,Scottie Barnes,7,2,1,1,1,0,1,1.0,2.0,0.0,1.0,0.0,0.0,
2025-26,401838141,2026-02-15,STARS,4701230,Jalen Johnson,6,5,1,1,2,0,2,2.0,2.0,1.0,1.0,0.0,0.0,
2025-26,401838141,2026-02-15,STARS,4433255,Chet Holmgren,7,0,1,1,1,0,0,0.0,3.0,0.0,1.0,0.0,0.0,
2025-26,401838141,2026-02-15,STRIPES,1966,LeBron James,7,8,1,1,1,0,0,2.0,4.0,2.0,3.0,2.0,2.0,
2025-26,401838141,2026-02-15,STRIPES,3202,Kevin Durant,10,5,1,1,3,1,0,2.0,4.0,1.0,3.0,0.0,0.0,
2025-26,401838141,2026-02-15,STRIPES,6450,Kawhi Leonard,10,5,5,2,2,0,1,2.0,7.0,1.0,3.0,0.0,0.0,
2025-26,401838141,2026-02-15,STRIPES,3917376,Jaylen Brown,9,11,3,0,0,1,0,5.0,9.0,1.0,3.0,0.0,0.0,
2025-26,401838141,2026-02-15,STRIPES,3934672,Jalen Brunson,7,2,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,
2025-26,401838141,2026-02-15,STRIPES,3913176,Brandon Ingram,5,0,2,1,0,0,0,0.0,3.0,0.0,1.0,0.0,0.0,
2025-26,401838141,2026-02-15,STRIPES,3908809,Donovan Mitchell,7,6,0,3,0,0,2,2.0,3.0,2.0,2.0,0.0,0.0,
2025-26,401838141,2026-02-15,STRIPES,4066259,De'Aaron Fox,4,5,0,1,1,0,2,2.0,3.0,1.0,2.0,0.0,0.0,
2025-26,401838142,2026-02-15,WORLD,3149673,Pascal Siakam,10,6,3,1,0,0,1,3.0,3.0,0.0,0.0,0.0,0.0,
2025-26,401838142,2026-02-15,WORLD,4683021,Deni Avdija,7,0,1,2,0,0,2,0.0,1.0,0.0,1.0,0.0,0.0,
2025-26,401838142,2026-02-15,WORLD,5104157,Victor Wembanyama,10,19,2,0,0,0,1,6.0,8.0,2.0,3.0,5.0,5.0,
2025-26,401838142,2026-02-15,WORLD,3136195,Karl-Anthony Towns,10,6,2,0,0,0,0,2.0,2.0,2.0,2.0,0.0,0.0,
2025-26,401838142,2026-02-15,WORLD,3936299,Jamal Murray,10,8,2,4,0,0,0,3.0,7.0,2.0,3.0,0.0,0.0,
2025-26,401838142,2026-02-15,WORLD,4871144,Alperen Sengun,6,1,1,2,0,0,0,0.0,2.0,0.0,1.0,1.0,2.0,
2025-26,401838142,2026-02-15,WORLD,2595516,Norman Powell,7,5,2,1,0,0,0,2.0,4.0,0.0,2.0,1.0,2.0,
2025-26,401838142,2026-02-15,STRIPES,1966,LeBron James,8,2,2,4,0,0,0,1.0,3.0,0.0,1.0,0.0,0.0,
2025-26,401838142,2026-02-15,STRIPES,3202,Kevin Durant,12,7,1,1,0,0,0,3.0,7.0,1.0,4.0,0.0,0.0,
2025-26,401838142,2026-02-15,STRIPES,6450,Kawhi Leonard,12,31,3,0,2,0,0,11.0,13.0,6.0,7.0,3.0,3.0,
2025-26,401838142,2026-02-15,STRIPES,3917376,Jaylen Brown,8,0,0,1,1,2,0,0.0,3.0,0.0,1.0,0.0,0.0,
2025-26,401838142,2026-02-15,STRIPES,3934672,Jalen Brunson,8,8,1,2,0,0,0,3.0,5.0,2.0,3.0,0.0,0.0,
2025-26,401838142,2026-02-15,STRIPES,3913176,Brandon Ingram,4,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-26,401838142,2026-02-15,STRIPES,3908809,Donovan Mitchell,4,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-26,401838142,2026-02-15,STRIPES,4066259,De'Aaron Fox,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,4433621,Jalen Duren,7,6,4,0,0,0,0,3.0,3.0,0.0,0.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,3136193,Devin Booker,9,5,3,2,0,0,0,2.0,5.0,1.0,2.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,4431678,Tyrese Maxey,9,9,2,1,3,0,0,4.0,8.0,1.0,5.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,4432166,Cade Cunningham,9,0,1,2,0,1,1,0.0,1.0,0.0,1.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,4594268,Anthony Edwards,8,8,4,2,0,0,1,3.0,5.0,2.0,4.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,4433134,Scottie Barnes,6,6,4,1,0,0,1,3.0,3.0,0.0,0.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,4701230,Jalen Johnson,6,5,3,0,0,0,0,2.0,4.0,1.0,2.0,0.0,0.0,
2025-26,401838143,2026-02-16,STARS,4433255,Chet Holmgren,6,8,2,0,0,2,0,3.0,4.0,1.0,1.0,1.0,2.0,
2025-26,401838143,2026-02-16,STRIPES,1966,LeBron James,6,5,4,0,0,0,2,2.0,4.0,1.0,3.0,0.0,0.0,
2025-26,401838143,2026-02-16,STRIPES,3202,Kevin Durant,6,0,1,0,0,0,0,0.0,4.0,0.0,1.0,0.0,0.0,
2025-26,401838143,2026-02-16,STRIPES,6450,Kawhi Leonard,12,1,1,1,0,0,1,0.0,4.0,0.0,2.0,1.0,2.0,
2025-26,401838143,2026-02-16,STRIPES,3917376,Jaylen Brown,12,4,2,1,0,0,0,2.0,10.0,0.0,7.0,0.0,0.0,
2025-26,401838143,2026-02-16,STRIPES,3934672,Jalen Brunson,12,3,2,1,1,0,0,1.0,3.0,1.0,1.0,0.0,0.0,
2025-26,401838143,2026-02-16,STRIPES,3908809,Donovan Mitchell,6,6,1,0,0,0,1,2.0,4.0,2.0,4.0,0.0,0.0,
2025-26,401838143,2026-02-16,STRIPES,4066259,De'Aaron Fox,6,2,1,2,0,0,0,1.0,2.0,0.0,1.0,0.0,0.0,
2025-26,401810647,2026-02-20,HOU,3202,Kevin Durant,36,35,8,4,1,3,1,14.0,20.0,2.0,4.0,5.0,5.0,
2025-26,401810647,2026-02-20,HOU,4432639,Jabari Smith Jr.,31,15,7,1,1,1,0,6.0,9.0,2.0,3.0,1.0,1.0,
2025-26,401810647,2026-02-20,HOU,4433192,Tari Eason,33,5,3,0,3,0,1,2.0,9.0,1.0,6.0,0.0,0.0,
2025-26,401810647,2026-02-20,HOU,4871144,Alperen Sengun,32,13,2,7,3,1,2,6.0,16.0,0.0,3.0,1.0,2.0,
2025-26,401810647,2026-02-20,HOU,4684740,Amen Thompson,37,9,7,2,4,1,3,3.0,8.0,0.0,3.0,3.0,3.0,
2025-26,401810647,2026-02-20,HOU,2578185,Dorian Finney-Smith,23,8,4,1,1,0,2,3.0,7.0,2.0,6.0,0.0,0.0,
2025-26,401810647,2026-02-20,HOU,3136777,Jae'Sean Tate,15,7,0,1,1,0,0,3.0,4.0,1.0,2.0,0.0,0.0,
2025-26,401810647,2026-02-20,HOU,3102529,Clint Capela,9,0,4,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,
2025-26,401810647,2026-02-20,HOU,4711272,Reed Sheppard,24,13,4,3,1,2,2,5.0,12.0,1.0,5.0,2.0,2.0,
2025-26,401810647,2026-02-20,CHA,4066218,Grant Williams,29,20,9,1,0,0,2,7.0,10.0,4.0,5.0,2.0,2.0,
2025-26,401810647,2026-02-20,CHA,4433287,Brandon Miller,34,17,4,7,1,0,3,5.0,22.0,1.0,12.0,6.0,7.0,
2025-26,401810647,2026-02-20,CHA,4576060,Ryan Kalkbrenner,30,12,4,4,0,1,2,5.0,6.0,0.0,0.0,2.0,3.0,
2025-26,401810647,2026-02-20,CHA,4432816,LaMelo Ball,31,11,7,7,1,1,1,5.0,14.0,1.0,6.0,0.0,0.0,
2025-26,401810647,2026-02-20,CHA,5061575,Kon Knueppel,31,15,5,4,1,0,5,5.0,11.0,3.0,6.0,2.0,2.0,
2025-26,401810647,2026-02-20,CHA,5211176,Tidjane Salaun,20,9,4,0,2,0,1,3.0,5.0,2.0,3.0,1.0,2.0,
2025-26,401810647,2026-02-20,CHA,4701225,PJ Hall,14,2,4,1,0,1,1,0.0,1.0,0.0,0.0,2.0,2.0,
2025-26,401810647,2026-02-20,CHA,4432811,Josh Green,14,2,2,0,1,0,1,1.0,2.0,0.0,1.0,0.0,0.0,
2025-26,401810647,2026-02-20,CHA,4432819,Tre Mann,18,5,3,0,1,0,0,2.0,6.0,1.0,4.0,0.0,0.0,
2025-26,401810647,2026-02-20,CHA,4602025,Sion James,19,8,4,1,0,0,0,3.0,7.0,2.0,5.0,0.0,0.0,
2025-26,401810648,2026-02-20,BKN,4278104,Michael Porter Jr.,21,14,5,2,0,1,0,5.0,13.0,1.0,6.0,3.0,3.0,
2025-26,401810648,2026-02-20,BKN,4712896,Noah Clowney,20,8,1,2,0,0,1,3.0,8.0,2.0,7.0,0.0,0.0,
2025-26,401810648,2026-02-20,BKN,4432194,Day'Ron Sharpe,20,4,5,3,0,0,0,1.0,5.0,0.0,1.0,2.0,2.0,
2025-26,401810648,2026-02-20,BKN,5175643,Egor Demin,26,10,5,1,1,0,1,3.0,8.0,2.0,5.0,2.0,3.0,
2025-26,401810648,2026-02-20,BKN,5279130,Nolan Traore,30,8,1,5,2,0,4,3.0,11.0,1.0,3.0,1.0,2.0,
2025-26,401810648,2026-02-20,BKN,4431714,Jalen Wilson,7,3,3,0,0,0,0,1.0,2.0,1.0,2.0,0.0,0.0,
2025-26,401810648,2026-02-20,BKN,4433137,Ziaire Williams,22,2,2,1,1,0,1,1.0,9.0,0.0,6.0,0.0,0.0,
2025-26,401810648,2026-02-20,BKN,5107173,Danny Wolf,28,11,6,7,1,2,3,4.0,12.0,2.0,6.0,1.0,4.0,
2025-26,401810648,2026-02-20,BKN,3907823,Terance Mann,22,9,3,0,1,0,1,3.0,5.0,2.0,3.0,1.0,2.0,
2025-26,401810648,2026-02-20,BKN,4397018,Ochai Agbaji,28,13,3,3,0,1,0,5.0,8.0,3.0,6.0,0.0,0.0,
2025-26,401810648,2026-02-20,BKN,5037873,Drake Powell,16,2,2,1,2,0,0,1.0,6.0,0.0,4.0,0.0,0.0,
2025-26,401810648,2026-02-20,CLE,3912848,Dean Wade,16,11,5,0,0,0,0,4.0,4.0,3.0,3.0,0.0,0.0,
2025-26,401810648,2026-02-20,CLE,4066328,Jarrett Allen,24,15,10,1,1,2,0,5.0,8.0,0.0,1.0,5.0,10.0,
2025-26,401810648,2026-02-20,CLE,4432158,Evan Mobley,19,10,9,2,0,1,2,5.0,9.0,0.0,1.0,0.0,0.0,
2025-26,401810648,2026-02-20,CLE,3992,James Harden,28,16,5,9,3,0,2,6.0,8.0,3.0,5.0,1.0,2.0,
2025-26,401810648,2026-02-20,CLE,3908809,Donovan Mitchell,21,17,3,5,0,0,2,7.0,12.0,2.0,4.0,1.0,1.0,
2025-26,401810648,2026-02-20,CLE,2580365,Larry Nance Jr.,12,0,5,0,0,0,1,0.0,3.0,0.0,2.0,0.0,0.0,
2025-26,401810648,2026-02-20,CLE,4431734,Tristan Enaruna,9,2,1,0,0,0,1,1.0,3.0,0.0,1.0,0.0,1.0,
2025-26,401810648,2026-02-20,CLE,3032979,Dennis Schroder,20,12,3,3,1,0,1,4.0,8.0,1.0,1.0,3.0,4.0,
2025-26,401810648,2026-02-20,CLE,4066757,Sam Merrill,22,3,3,3,0,0,0,1.0,4.0,1.0,4.0,0.0,0.0,
2025-26,401810648,2026-02-20,CLE,4683747,Jaylon Tyson,23,11,5,2,0,1,1,4.0,10.0,1.0,4.0,2.0,2.0,
2025-26,401810648,2026-02-20,CLE,4701233,Craig Porter Jr.,17,2,2,2,0,0,2,1.0,5.0,0.0,2.0,0.0,0.0,
2025-26,401810648,2026-02-20,CLE,4702177,Keon Ellis,20,7,3,0,1,3,0,3.0,6.0,1.0,4.0,0.0,0.0,
2025-26,401810648,2026-02-20,CLE,5023693,Tyrese Proctor,10,6,2,0,1,0,1,3.0,6.0,0.0,3.0,0.0,0.0,
2025-26,401810649,2026-02-20,ATL,4431680,Onyeka Okongwu,26,8,10,2,0,0,2,4.0,10.0,0.0,3.0,0.0,0.0,
2025-26,401810649,2026-02-20,ATL,4701230,Jalen Johnson,38,32,10,5,3,1,4,9.0,22.0,0.0,5.0,14.0,16.0,
2025-26,401810649,2026-02-20,ATL,5211175,Zaccharie Risacher,27,10,7,2,1,1,0,4.0,8.0,2.0,4.0,0.0,0.0,
2025-26,401810649,2026-02-20,ATL,4278039,Nickeil Alexander-Walker,33,14,3,4,3,0,4,4.0,11.0,2.0,7.0,4.0,5.0,
2025-26,401810649,2026-02-20,ATL,4869342,Dyson Daniels,37,15,7,2,1,0,2,7.0,12.0,0.0,2.0,1.0,3.0,
2025-26,401810649,2026-02-20,ATL,4280151,Corey Kispert,17,5,5,1,0,0,0,1.0,5.0,1.0,3.0,2.0,2.0,
2025-26,401810649,2026-02-20,ATL,4712863,Mouhamed Gueye,10,0,1,1,1,1,0,0.0,2.0,0.0,0.0,0.0,2.0,
2025-26,401810649,2026-02-20,ATL,3146557,Jock Landale,22,10,7,2,0,1,0,3.0,6.0,2.0,3.0,2.0,2.0,
2025-26,401810649,2026-02-20,ATL,2490149,CJ McCollum,30,23,1,5,2,1,1,6.0,13.0,3.0,5.0,8.0,10.0,
2025-26,401810649,2026-02-20,PHI,4870562,Dominick Barlow,22,1,3,0,1,3,1,0.0,3.0,0.0,0.0,1.0,2.0,
2025-26,401810649,2026-02-20,PHI,6585,Andre Drummond,28,10,14,3,0,2,0,4.0,6.0,1.0,1.0,1.0,1.0,
2025-26,401810649,2026-02-20,PHI,3133603,Kelly Oubre Jr.,32,17,3,3,3,1,2,4.0,13.0,0.0,3.0,9.0,11.0,
2025-26,401810649,2026-02-20,PHI,4431678,Tyrese Maxey,39,28,3,3,1,1,2,8.0,23.0,4.0,11.0,8.0,8.0,
2025-26,401810649,2026-02-20,PHI,5124612,VJ Edgecombe,34,20,9,0,1,1,6,7.0,15.0,3.0,8.0,3.0,3.0,
2025-26,401810649,2026-02-20,PHI,4431675,Trendon Watford,16,4,2,0,0,0,1,1.0,6.0,0.0,1.0,2.0,2.0,
2025-26,401810649,2026-02-20,PHI,4432446,Jabari Walker,10,4,3,2,1,0,0,1.0,3.0,1.0,2.0,1.0,2.0,
2025-26,401810649,2026-02-20,PHI,5105637,Adem Bona,20,9,7,0,0,4,1,3.0,5.0,0.0,0.0,3.0,4.0,
2025-26,401810649,2026-02-20,PHI,3064230,Cameron Payne,10,0,0,5,2,0,0,0.0,3.0,0.0,3.0,0.0,0.0,
2025-26,401810649,2026-02-20,PHI,4397014,Quentin Grimes,29,14,2,1,0,1,2,5.0,9.0,2.0,4.0,2.0,4.0,
2025-26,401810650,2026-02-20,IND,5106060,Jarace Walker,30,19,14,7,2,0,5,5.0,15.0,1.0,7.0,8.0,10.0,
2025-26,401810650,2026-02-20,IND,4065731,Jay Huff,21,15,8,1,0,3,2,3.0,8.0,1.0,5.0,8.0,8.0,
2025-26,401810650,2026-02-20,IND,4395712,Andrew Nembhard,22,5,1,4,0,0,6,2.0,7.0,1.0,3.0,0.0,0.0,
2025-26,401810650,2026-02-20,IND,4396909,Aaron Nesmith,15,3,2,1,0,0,0,0.0,3.0,0.0,2.0,3.0,3.0,
2025-26,401810650,2026-02-20,IND,4433076,Ben Sheppard,27,15,3,2,2,0,0,6.0,8.0,3.0,4.0,0.0,0.0,
2025-26,401810650,2026-02-20,IND,4066399,Micah Potter,27,14,6,1,0,0,2,5.0,10.0,2.0,4.0,2.0,2.0,
2025-26,401810650,2026-02-20,IND,4278516,Ethan Thompson,27,2,2,1,1,0,2,1.0,7.0,0.0,2.0,0.0,0.0,
2025-26,401810650,2026-02-20,IND,4431752,Kobe Brown,33,12,9,1,0,1,2,5.0,11.0,2.0,4.0,0.0,0.0,
2025-26,401810650,2026-02-20,IND,4697268,Kam Jones,14,4,0,2,1,0,1,2.0,2.0,0.0,0.0,0.0,0.0,
2025-26,401810650,2026-02-20,IND,4703421,Taelon Peter,25,16,5,2,1,0,3,5.0,12.0,5.0,11.0,1.0,4.0,
2025-26,401810650,2026-02-20,WSH,4997537,Tristan Vukcevic,17,12,5,2,5,1,0,4.0,7.0,2.0,3.0,2.0,2.0,
2025-26,401810650,2026-02-20,WSH,5174563,Kyshawn George,19,6,3,1,0,2,1,3.0,10.0,0.0,3.0,0.0,0.0,
2025-26,401810650,2026-02-20,WSH,4845374,Bub Carrington,28,13,4,3,2,0,2,5.0,14.0,3.0,9.0,0.0,2.0,
2025-26,401810650,2026-02-20,WSH,5104155,Bilal Coulibaly,23,12,4,4,3,0,1,4.0,9.0,1.0,3.0,3.0,4.0,
2025-26,401810650,2026-02-20,WSH,5238230,Tre Johnson,19,10,6,2,0,0,0,4.0,12.0,0.0,4.0,2.0,2.0,
2025-26,401810650,2026-02-20,WSH,2581184,Anthony Gill,31,13,8,3,0,1,1,6.0,9.0,1.0,1.0,0.0,0.0,
2025-26,401810650,2026-02-20,WSH,4432173,Sharife Cooper,24,8,5,7,2,0,3,3.0,10.0,0.0,3.0,2.0,2.0,
2025-26,401810650,2026-02-20,WSH,4592216,Alondes Williams,28,6,5,5,0,1,1,2.0,5.0,1.0,4.0,1.0,2.0,
2025-26,401810650,2026-02-20,WSH,4701845,Kadary Richmond,29,13,5,3,1,0,0,5.0,7.0,0.0,1.0,3.0,3.0,
2025-26,401810650,2026-02-20,WSH,4868423,Jaden Hardy,18,13,1,0,1,0,1,5.0,13.0,3.0,6.0,0.0,0.0,
2025-26,401810650,2026-02-20,WSH,5144126,Will Riley,4,6,0,0,0,0,0,2.0,2.0,0.0,0.0,2.0,3.0,
2025-26,401810651,2026-02-20,DET,6440,Tobias Harris,32,11,10,5,1,1,2,4.0,16.0,1.0,5.0,2.0,4.0,
2025-26,401810651,2026-02-20,DET,3157465,Duncan Robinson,21,9,1,0,0,0,0,3.0,6.0,3.0,6.0,0.0,0.0,
2025-26,401810651,2026-02-20,DET,4278562,Paul Reed,29,18,7,2,1,3,0,7.0,9.0,0.0,1.0,4.0,4.0,
2025-26,401810651,2026-02-20,DET,4432166,Cade Cunningham,38,42,8,13,1,2,5,17.0,34.0,5.0,11.0,3.0,3.0,
2025-26,401810651,2026-02-20,DET,4684742,Ausar Thompson,31,10,5,4,3,0,1,4.0,8.0,0.0,0.0,2.0,2.0,
2025-26,401810651,2026-02-20,DET,4397882,Tolu Smith,18,4,2,0,0,0,0,2.0,3.0,0.0,0.0,0.0,0.0,
2025-26,401810651,2026-02-20,DET,4683771,Ronald Holland II,12,7,2,1,0,0,0,3.0,3.0,1.0,1.0,0.0,0.0,
2025-26,401810651,2026-02-20,DET,2596112,Javonte Green,20,9,5,0,2,0,2,2.0,4.0,1.0,3.0,4.0,5.0,
2025-26,401810651,2026-02-20,DET,2991043,Caris LeVert,20,8,2,3,1,2,1,3.0,6.0,2.0,3.0,0.0,0.0,
2025-26,401810651,2026-02-20,DET,5107199,Daniss Jenkins,18,8,2,2,0,0,3,3.0,4.0,0.0,0.0,2.0,2.0,
2025-26,401810651,2026-02-20,NY,3934719,OG Anunoby,32,8,0,0,0,4,0,3.0,13.0,1.0,8.0,1.0,2.0,
2025-26,401810651,2026-02-20,NY,3136195,Karl-Anthony Towns,31,21,11,4,1,0,2,7.0,14.0,1.0,4.0,6.0,6.0,
2025-26,401810651,2026-02-20,NY,3062679,Josh Hart,28,11,4,3,0,0,1,5.0,8.0,0.0,0.0,1.0,2.0,
2025-26,401810651,2026-02-20,NY,3147657,Mikal Bridges,25,8,3,0,1,0,1,4.0,9.0,0.0,3.0,0.0,0.0,
2025-26,401810651,2026-02-20,NY,3934672,Jalen Brunson,38,33,6,8,2,0,6,12.0,20.0,3.0,7.0,6.0,6.0,
2025-26,401810651,2026-02-20,NY,4610139,Jeremy Sochan,10,2,0,1,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,
2025-26,401810651,2026-02-20,NY,5289900,Mohamed Diawara,9,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-26,401810651,2026-02-20,NY,4351852,Mitchell Robinson,19,7,6,0,2,1,0,2.0,4.0,0.0,0.0,3.0,6.0,
2025-26,401810651,2026-02-20,NY,3914044,Landry Shamet,28,15,2,2,0,1,0,4.0,10.0,3.0,8.0,4.0,6.0,
2025-26,401810651,2026-02-20,NY,4277869,Jose Alvarado,21,6,4,5,1,0,2,3.0,8.0,0.0,5.0,0.0,0.0,
2025-26,401810652,2026-02-20,TOR,3913176,Brandon Ingram,36,31,8,6,2,0,2,11.0,26.0,3.0,5.0,6.0,7.0,
2025-26,401810652,2026-02-20,TOR,4395625,RJ Barrett,25,13,6,3,1,0,0,3.0,10.0,1.0,3.0,6.0,8.0,
2025-26,401810652,2026-02-20,TOR,4433134,Scottie Barnes,34,14,9,5,2,1,6,5.0,14.0,0.0,1.0,4.0,4.0,
2025-26,401810652,2026-02-20,TOR,5093267,Collin Murray-Boyles,29,11,6,1,1,1,0,4.0,5.0,0.0,0.0,3.0,3.0,
2025-26,401810652,2026-02-20,TOR,4395724,Immanuel Quickley,33,14,2,3,2,0,1,5.0,12.0,0.0,4.0,4.0,5.0,
2025-26,401810652,2026-02-20,TOR,4278580,Sandro Mamukelashvili,16,7,3,0,0,1,0,3.0,5.0,1.0,2.0,0.0,0.0,
2025-26,401810652,2026-02-20,TOR,3134908,Jakob Poeltl,16,2,0,1,0,0,2,1.0,1.0,0.0,0.0,0.0,0.0,
2025-26,401810652,2026-02-20,TOR,4432241,Jamal Shead,20,4,3,4,2,0,1,2.0,5.0,0.0,2.0,0.0,0.0,
2025-26,401810652,2026-02-20,TOR,4684272,Ja'Kobe Walter,22,14,4,0,3,0,1,4.0,9.0,2.0,5.0,4.0,4.0,
2025-26,401810652,2026-02-20,TOR,5106258,Gradey Dick,9,0,5,0,1,0,1,0.0,3.0,0.0,1.0,0.0,0.0,
2025-26,401810652,2026-02-20,CHI,4397189,Jalen Smith,24,9,10,2,3,1,2,2.0,6.0,1.0,3.0,4.0,4.0,
2025-26,401810652,2026-02-20,CHI,4432822,Isaac Okoro,30,16,5,1,0,0,1,6.0,12.0,3.0,5.0,1.0,1.0,
2025-26,401810652,2026-02-20,CHI,4711294,Matas Buzelis,31,4,6,1,0,0,4,2.0,10.0,0.0,7.0,0.0,0.0,
2025-26,401810652,2026-02-20,CHI,4351851,Anfernee Simons,31,20,1,1,0,0,2,7.0,18.0,4.0,11.0,2.0,2.0,
2025-26,401810652,2026-02-20,CHI,4871145,Josh Giddey,21,5,4,5,2,1,4,1.0,7.0,0.0,2.0,3.0,4.0,
2025-26,401810652,2026-02-20,CHI,4017844,Guerschon Yabusele,17,8,5,1,0,0,0,2.0,5.0,1.0,3.0,3.0,4.0,
2025-26,401810652,2026-02-20,CHI,4431687,Patrick Williams,27,6,7,1,0,0,0,3.0,8.0,0.0,4.0,0.0,0.0,
2025-26,401810652,2026-02-20,CHI,4278076,Nick Richards,12,6,5,0,0,1,1,2.0,2.0,0.0,0.0,2.0,2.0,
2025-26,401810652,2026-02-20,CHI,4277811,Collin Sexton,15,11,1,2,1,1,3,4.0,7.0,2.0,4.0,1.0,2.0,
2025-26,401810652,2026-02-20,CHI,4395626,Tre Jones,22,12,1,6,0,1,0,5.0,8.0,1.0,1.0,1.0,2.0,
2025-26,401810652,2026-02-20,CHI,4684275,Rob Dillingham,10,4,1,2,0,0,3,2.0,3.0,0.0,0.0,0.0,0.0,
2025-26,401810653,2026-02-20,PHX,2583632,Royce O'Neale,27,8,7,1,0,1,0,3.0,8.0,2.0,5.0,0.0,0.0,
2025-26,401810653,2026-02-20,PHX,4701232,Mark Williams,23,11,10,0,0,1,0,4.0,12.0,0.0,0.0,3.0,4.0,
2025-26,401810653,2026-02-20,PHX,3136193,Devin Booker,9,5,1,0,0,0,1,2.0,6.0,0.0,2.0,1.0,2.0,
2025-26,401810653,2026-02-20,PHX,4278585,Collin Gillespie,30,8,2,8,1,0,1,3.0,13.0,2.0,8.0,0.0,0.0,
