cx,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.06,Curtis Givens,MEM,WICH,Fantasy Score,Goblin,16,OVER,3.955000000000002,19.955,0.75,19.86,20.05,4,1,Above Avg,02/26 09:05PM,fantasy score,
CBB,A,1.06,Dug McDaniel,MEM,WICH,Fantasy Score,Goblin,19,OVER,4.635000000000002,23.635,0.75,23.3,23.97,4,1,Above Avg,02/26 09:05PM,fantasy score,
CBB,A,1.05,Coen Carr,MSU,PUR,Points,Goblin,8.5,OVER,4,12.5,0.6499999999999999,12.8,12.2,3,2,Elite,02/26 08:00PM,pts,
CBB,A,1.05,Isaiah Elohim,FAU,TEM,Pts+Rebs+Asts,Goblin,16.5,OVER,3.949999999999999,20.45,0.8,20.4,20.5,4,1,Above Avg,02/26 07:00PM,pra,
CBB,A,1.05,Keegan Harvey,BRY,UMBC,Points,Standard,10,OVER,5.199999999999999,15.2,0.7915,15.4,15,3,1,Elite,02/26 06:00PM,pts,
CBB,A,1.05,Isaiah Elohim,FAU,TEM,Points,Goblin,10.5,OVER,3.5,14,0.6499999999999999,13.8,14.2,3,2,Above Avg,02/26 07:00PM,pts,
CBB,A,1.05,Jeremy Fears,MSU,PUR,Pts+Rebs+Asts,Goblin,22.5,OVER,6.900000000000002,29.4,0.8,28.2,30.6,4,1,Elite,02/26 08:00PM,pra,
CBB,A,1.04,Coen Carr,MSU,PUR,Fantasy Score,Goblin,16,OVER,6.040000000000003,22.04,0.7,21.42,22.66,3,2,Elite,02/26 08:05PM,fantasy score,
CBB,A,1.04,Jaxon Kohler,MSU,PUR,Fantasy Score,Goblin,18,OVER,4.425000000000001,22.425,0.75,24.28,20.57,4,1,Elite,02/26 08:05PM,fantasy score,
CBB,A,1.04,Jeremy Fears,MSU,PUR,Fantasy Score,Standard,29.5,OVER,8.784999999999997,38.285,0.8500000000000001,37.12,39.45,4,1,Elite,02/26 08:00PM,fantasy score,
CBB,A,1.04,Andrej Stojakovic,ILL,MICH,Pts+Rebs+Asts,Goblin,12.5,OVER,6.5,19,0.7,19.6,18.4,4,1,Elite,02/27 08:00PM,pra,
CBB,A,1.03,Coen Carr,MSU,PUR,Pts+Rebs+Asts,Goblin,15.5,OVER,3.799999999999997,19.3,0.8,19.4,19.2,4,1,Elite,02/26 08:00PM,pra,
CBB,A,1.03,Aiden Tobiason,TEM,FAU,Points,Goblin,12.5,OVER,2.699999999999999,15.2,0.55,14.2,16.2,2,3,Avg,02/26 07:00PM,pts,
CBB,A,1.02,L.J. Cason,MICH,ILL,Points,Standard,7.5,OVER,3.799999999999999,11.3,0.7,13,9.6,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.02,Trey Kaufman-Renn,PUR,MSU,Pts+Rebs,Goblin,19.5,OVER,4.700000000000003,24.2,0.8,26.8,21.6,5,0,Elite,02/26 08:00PM,pr,
CBB,A,1.02,Braden Smith,PUR,MSU,Fantasy Score,Goblin,29,OVER,5.980000000000004,34.98,0.8,35.28,34.68,4,1,Elite,02/26 08:05PM,fantasy score,
CBB,A,1.01,Alex Condon,FLA,ARK,Points,Goblin,14.5,OVER,1.949999999999999,16.45,0.5,18.6,14.3,3,2,Weak,02/28 08:30PM,pts,
CBB,A,1.01,Jaxon Kohler,MSU,PUR,Rebounds,Goblin,6.5,OVER,2.75,9.25,0.85,10.4,8.1,5,0,Elite,02/26 08:00PM,reb,
CBB,A,1.01,Jordan Mason,TEM,FAU,Pts+Rebs+Asts,Goblin,15.5,OVER,2.699999999999999,18.2,0.6,18,18.4,3,2,Avg,02/26 07:00PM,pra,
CBB,A,1,Jeremy Fears,MSU,PUR,Points,Goblin,13.5,OVER,3.549999999999997,17.05,0.7,15.4,18.7,3,2,Elite,02/26 08:00PM,pts,
CBB,A,1,Andrej Stojakovic,ILL,MICH,Points,Goblin,8.5,OVER,5,13.5,0.5,14.4,12.6,3,2,Elite,02/27 08:00PM,pts,
CBB,A,0.99,Jordan Scott,MSU,PUR,Points,Goblin,7.5,OVER,2.9,10.4,0.85,11.8,9,5,0,Elite,02/26 08:00PM,pts,
