Watchlist 'B. MACD M'

B. MACD M
Symbol,Last,%Change,Volume,perc chg,rVOLD
PTEN,10.35,0.00%,"4,896,649",0.19,0.8
VTRS,10.42,-0.67%,"6,915,569",0.38,0.9
BBVA,10.65,+1.82%,"1,487,429",0.95,0.8
MUFG,10.65,+0.57%,"2,182,038",0.38,0.89
VGR,10.70,-0.09%,"727,621",0.19,0.67
AVDX,10.73,+0.75%,"855,300",0.75,0.51
UPWK,10.74,0.00%,"1,782,175",-0.56,0.89
TALO,10.78,-0.09%,"1,456,070",0.09,0.88
RITM,11.19,-0.80%,"2,050,339",0.07,0.71
BTSG,11.48,-0.61%,"3,972,390",1.99,3.42
CRK,11.72,-0.17%,"1,632,775",-0.17,0.48
HLIT,11.72,-0.85%,"879,064",-0.26,0.47
DHT,11.76,-0.76%,"1,209,438",-1.1,0.79
OUST,11.81,-1.99%,"676,469",-6.08,0.41
SBH,11.91,-1.65%,"784,059",-1.0,0.6
CIM,11.92,-1.32%,"518,881",-1.24,0.97
EC,12.03,+0.25%,"1,268,882",0.17,0.63
PAGS,12.07,+1.60%,"3,989,774",1.0,1.21
CRGY,12.27,-0.65%,"1,364,140",-1.3,0.63
DAWN,12.88,-1.38%,"806,595",-3.15,0.67
JBI,12.97,-3.64%,"2,199,676",-3.06,1.31
FNB,13.30,+0.30%,"1,676,107",0.08,0.85
HAYW,13.45,-3.17%,"584,849",-2.82,0.51
MGNI,13.58,-0.29%,"1,805,099",2.52,0.99
MAG,13.64,+4.68%,"868,951",3.5,0.84
DO,13.68,+2.32%,"1,137,219",2.4,0.84
PFS,13.69,-0.44%,"959,905",-0.07,0.74
SBRA,14.27,-1.04%,"2,492,178",-0.14,1.4
PEB,14.29,+0.99%,"1,519,508",1.49,1
APLE,14.40,+0.63%,"1,684,999",1.37,0.84
GRPN,14.40,-0.28%,"743,235",0.14,0.53
EYE,14.54,-0.48%,"1,995,866",0.48,1.71
MAC,15.17,-2.07%,"907,237",-1.11,0.46
FHN,15.20,-1.04%,"12,341,063",-1.43,2.19
PK,15.23,-0.72%,"2,889,242",-0.52,1.21
ET,15.45,+0.46%,"7,561,537",0.65,0.65
PR,15.48,+0.91%,"9,362,638",1.44,0.99
CPRX,15.76,-3.37%,"672,983",-1.37,0.58
TGTX,15.81,-4.36%,"2,536,931",-3.65,0.79
SONO,15.87,-1.31%,"1,196,258",1.83,0.83
EH,16.08,-0.86%,"446,003",0.06,0.29
BEKE,16.22,+0.62%,"7,068,284",1.37,0.72
OWL,16.73,-3.24%,"8,244,574",-3.48,1.57
CNK,16.88,+2.49%,"2,617,264",1.28,0.91
PAA,16.89,+0.18%,"1,115,909",0.42,0.33
WRBY,17.00,-1.56%,"930,393",-2.16,0.66
WEN,17.04,+1.07%,"3,064,810",2.09,0.82
GOLD,17.32,+3.71%,"23,544,677",4.23,0.99
IRT,17.34,+0.46%,"3,555,506",1.11,1.66
NOV,17.40,+0.46%,"1,400,636",0.64,0.45
ACVA,17.67,-0.45%,"440,676",-0.06,0.44
MAT,17.77,+0.85%,"1,823,416",1.76,0.65
AMX,17.82,-0.39%,"2,069,375",-0.34,1.43
PAGP,17.85,-0.28%,"550,976",0.22,0.27
HST,17.98,-0.66%,"5,366,519",-0.28,0.93
KVUE,18.63,-1.90%,"27,907,777",-0.16,1.38
AROC,18.87,-1.46%,"1,001,058",2.31,0.67
KIM,19.01,-0.21%,"1,700,304",-0.26,0.39
STWD,19.17,-0.88%,"1,205,427",-0.47,0.53
SATS,19.30,-2.72%,"965,630",-1.63,0.68
ZIM,19.34,-18.74%,"20,201,814",-10.39,3.92
NVAX,19.555,-6.75%,"39,337,930",-16.67,2.53
NLY,19.91,-0.40%,"2,480,457",-0.1,0.8
